日期,平石U3期权对冲
2020-01-07,1.0
2020-01-17,0.9998
2020-01-24,0.9995
2020-02-07,0.9991
2020-02-14,0.9989
2020-02-21,0.9987
2020-02-28,0.9985
2020-03-06,0.9977
2020-03-13,0.9975
2020-03-20,0.9973
2020-03-27,0.9998
2020-04-03,1.0077
2020-04-10,1.02
2020-04-17,1.0243
2020-04-24,1.0349
2020-04-30,1.0281
2020-05-08,1.0451
2020-05-15,1.0514
2020-05-22,1.0531
2020-05-29,1.0611
2020-06-05,1.0675
2020-06-12,1.072
2020-06-19,1.077
2020-06-24,1.0829
2020-07-03,1.0794
2020-07-10,1.1022
2020-07-17,1.0956
2020-07-24,1.098
2020-07-31,1.1094
2020-08-07,1.1333
2020-08-14,1.157
2020-08-21,1.1768
2020-08-28,1.1868
2020-09-04,1.1858
2020-09-11,1.1945
2020-09-18,1.2187
2020-09-25,1.2193
2020-10-09,1.2299
2020-10-16,1.2466
2020-10-23,1.246
2020-10-30,1.2486
2020-11-06,1.26
2020-11-13,1.2637
2020-11-20,1.2911
2020-11-27,1.3012
2020-12-04,1.3061
2020-12-11,1.3046
2020-12-18,1.324
2020-12-25,1.33
2020-12-31,1.3324
2021-01-08,1.3139
2021-01-15,1.3488
2021-01-22,1.3535
2021-01-29,1.3553
2021-02-05,1.3678
2021-02-19,1.3806
2021-02-26,1.3475
2021-03-01,1.3551
2021-03-02,1.3693
2021-03-03,1.3693
2021-03-05,1.3431
2021-03-12,1.3531
2021-03-19,1.357
2021-03-26,1.3681
2021-04-02,1.3683
2021-04-09,1.3695
2021-04-16,1.3695
2021-04-23,1.3749
2021-04-26,1.3732
2021-04-27,1.3761
2021-04-28,1.3767
2021-04-29,1.3756
2021-04-30,1.3773
