日期,平石T5对冲
2015-04-17,1.0
2015-04-18,0.9999
2015-04-19,0.9999
2015-04-20,0.9999
2015-04-21,0.9999
2015-04-22,0.9999
2015-04-23,0.9999
2015-04-24,0.9998
2015-04-25,0.9998
2015-04-26,0.9998
2015-04-27,0.9998
2015-04-28,0.9997
2015-04-29,0.9994
2015-04-30,1.0022
2015-05-01,1.0022
2015-05-02,1.0021
2015-05-03,1.0021
2015-05-04,1.023
2015-05-05,0.9876
2015-05-06,0.9872
2015-05-07,0.9819
2015-05-08,0.9935
2015-05-09,0.9935
2015-05-10,0.9934
2015-05-11,0.9974
2015-05-12,0.9894
2015-05-13,0.9886
2015-05-14,0.9808
2015-05-15,0.9697
2015-05-16,0.9697
2015-05-17,0.9696
2015-05-18,0.9654
2015-05-19,0.9729
2015-05-20,0.9722
2015-05-21,0.9821
2015-05-22,0.9942
2015-05-23,0.9941
2015-05-24,0.9941
2015-05-25,0.9964
2015-05-26,0.9974
2015-05-27,0.9803
2015-05-28,0.9663
2015-05-29,0.9789
2015-05-30,0.9788
2015-05-31,0.9788
2015-06-01,0.9719
2015-06-02,0.9618
2015-06-03,0.9639
2015-06-04,0.9794
2015-06-05,0.9815
2015-06-06,0.9815
2015-06-07,0.9814
2015-06-08,0.9961
2015-06-09,0.9835
2015-06-10,0.9718
2015-06-11,0.9707
2015-06-12,0.9785
2015-06-13,0.9785
2015-06-14,0.9784
2015-06-15,0.9681
2015-06-16,0.9568
2015-06-17,0.9676
2015-06-18,0.9581
2015-06-19,0.9636
2015-06-20,0.9636
2015-06-21,0.9636
2015-06-22,0.9635
2015-06-23,1.0093
2015-06-24,1.0004
2015-06-25,1.0025
2015-06-26,1.0134
2015-06-27,1.0134
2015-06-28,1.0133
2015-06-29,1.0331
2015-06-30,1.05
2015-07-01,1.0414
2015-07-02,1.0475
2015-07-03,1.0138
2015-07-04,1.0137
2015-07-05,1.0137
2015-07-06,1.0214
2015-07-07,1.0412
2015-07-08,1.0362
2015-07-09,1.0285
2015-07-10,1.0006
2015-07-11,1.0005
2015-07-12,1.0005
2015-07-13,0.9747
2015-07-14,0.9701
2015-07-15,0.9801
2015-07-16,0.9748
2015-07-17,0.958
2015-07-18,0.958
2015-07-19,0.9579
2015-07-20,0.975
2015-07-21,0.9691
2015-07-22,0.9637
2015-07-23,0.9512
2015-07-24,0.9621
2015-07-25,0.962
2015-07-26,0.962
2015-07-27,0.9568
2015-07-28,0.9645
2015-07-29,0.959
2015-07-30,0.9588
2015-07-31,0.9621
2015-08-01,0.962
2015-08-02,0.962
2015-08-03,0.9742
2015-08-04,0.9587
2015-08-05,0.9545
2015-08-06,0.952
2015-08-07,0.9462
2015-08-08,0.9462
2015-08-09,0.9462
2015-08-10,0.9371
2015-08-11,0.9401
2015-08-12,0.9314
2015-08-13,0.9302
2015-08-14,0.9285
2015-08-15,0.9285
2015-08-16,0.9285
2015-08-17,0.921
2015-08-18,0.9259
2015-08-19,0.9216
2015-08-20,0.9142
2015-08-21,0.9139
2015-08-22,0.9138
2015-08-23,0.9138
2015-08-24,0.9176
2015-08-25,0.9195
2015-08-26,0.9214
2015-08-27,0.9221
2015-08-28,0.9327
2015-08-29,0.9326
2015-08-30,0.9326
2015-08-31,0.9385
2015-09-01,0.9374
2015-09-02,0.9308
2015-09-03,0.9307
2015-09-04,0.9307
2015-09-05,0.9307
2015-09-06,0.9307
2015-09-07,0.9307
2015-09-08,0.9307
2015-09-09,0.9307
2015-09-10,0.9307
2015-09-11,0.9307
2015-09-12,0.9307
2015-09-13,0.9306
2015-09-14,0.9306
2015-09-15,0.9303
2015-09-16,0.9304
2015-09-17,0.9303
2015-09-18,0.9149
2015-09-19,0.9149
2015-09-20,0.9149
2015-09-21,0.9012
2015-09-22,0.8889
2015-09-23,0.8778
2015-09-24,0.8747
2015-09-25,0.8706
2015-09-26,0.8706
2015-09-27,0.8705
2015-09-28,0.8695
2015-09-29,0.868
2015-09-30,0.8681
2015-10-01,0.8681
2015-10-02,0.868
2015-10-03,0.868
2015-10-04,0.868
2015-10-05,0.868
2015-10-06,0.8679
2015-10-07,0.8679
2015-10-08,0.8725
2015-10-09,0.8732
2015-10-10,0.8731
2015-10-11,0.8731
2015-10-12,0.8795
2015-10-13,0.8784
2015-10-14,0.8759
2015-10-15,0.8818
2015-10-16,0.8828
2015-10-17,0.8828
2015-10-18,0.8827
2015-10-19,0.8842
2015-10-20,0.8862
2015-10-21,0.8738
2015-10-22,0.8827
2015-10-23,0.8879
2015-10-24,0.8878
2015-10-25,0.8878
2015-10-26,0.8926
2015-10-27,0.8926
2015-10-28,0.8823
2015-10-29,0.8851
2015-10-30,0.8867
2015-10-31,0.8867
2015-11-01,0.8867
2015-11-02,0.878
2015-11-03,0.8742
2015-11-04,0.9072
2015-11-05,0.922
2015-11-06,0.941
2015-11-07,0.941
2015-11-08,0.9409
2015-11-09,0.9553
2015-11-10,0.9495
2015-11-11,0.952
2015-11-12,0.9445
2015-11-13,0.9374
2015-11-14,0.9374
2015-11-15,0.9374
2015-11-16,0.9367
2015-11-17,0.9339
2015-11-18,0.9284
2015-11-19,0.9422
2015-11-20,0.9377
2015-11-21,0.9377
2015-11-22,0.9376
2015-11-23,0.9313
2015-11-24,0.9332
2015-11-25,0.9422
2015-11-26,0.94
2015-11-27,0.8922
2015-11-28,0.8921
2015-11-29,0.8921
2015-11-30,0.8982
2015-12-01,0.9032
2015-12-02,0.9416
2015-12-03,0.9522
2015-12-04,0.9351
2015-12-05,0.9351
2015-12-06,0.9351
2015-12-07,0.9356
2015-12-08,0.9203
2015-12-09,0.9247
2015-12-10,0.9193
2015-12-11,0.9196
2015-12-12,0.9195
2015-12-13,0.9195
2015-12-14,0.9474
2015-12-15,0.9416
2015-12-16,0.9415
2015-12-17,0.9576
