日期,上证所_A股账户新增开户数_合计,消费者信心指数_月,投资者信心指数_总指数,投资者信心指数_买入_BII,工业增加值_当月同比
2002-01-31,,113.1,,,18.6
2002-02-28,,113.3,,,2.7
2002-03-31,,113.4,,,10.9
2002-04-30,,113.3,,,12.1
2002-05-31,,113.3,,,12.9
2002-06-30,,113.5,,,12.4
2002-07-31,,113.5,,,12.8
2002-08-31,,113.4,,,12.7
2002-09-30,,113.5,,,13.8
2002-10-31,,113.6,,,14.2
2002-11-30,,113.9,,,14.5
2002-12-31,,113.8,,,14.9
2003-01-31,61191.0,114.0,,,14.8
2003-02-28,44860.0,114.1,,,19.8
2003-03-31,51512.0,113.9,,,16.9
2003-04-30,87808.0,103.5,,,14.9
2003-05-31,65441.0,100.0,,,13.7
2003-06-30,86164.0,103.4,,,16.9
2003-07-31,59980.0,106.4,,,16.5
2003-08-31,48681.0,108.2,,,17.1
2003-09-30,49661.0,108.6,,,16.3
2003-10-31,38390.0,109.9,,,17.2
2003-11-30,60801.0,110.3,,,17.9
2003-12-31,94163.0,111.2,,,18.1
2004-01-31,55993.0,111.3,,,7.2
2004-02-29,177801.0,111.1,,,23.2
2004-03-31,136824.0,111.3,,,19.4
2004-04-30,95896.0,110.8,,,19.1
2004-05-31,49117.0,108.0,,,17.5
2004-06-30,61414.0,105.1,,,16.2
2004-07-31,45919.0,106.3,,,15.5
2004-08-31,37465.0,105.9,,,15.9
2004-09-30,66688.0,106.5,,,16.1
2004-10-31,38657.0,107.1,,,15.7
2004-11-30,50962.0,108.2,,,14.8
2004-12-31,44181.0,108.7,,,14.4
2005-01-31,27852.0,109.1,,,20.9
2005-02-28,27534.0,109.6,,,7.6
2005-03-31,44177.0,110.1,,,15.1
2005-04-30,38947.0,110.5,,,16.0
2005-05-31,27568.0,110.0,,,16.6
2005-06-30,58602.0,110.4,,,16.8
2005-07-31,28696.0,110.1,,,16.1
2005-08-31,49630.0,110.3,,,16.0
2005-09-30,43626.0,110.0,,,16.5
2005-10-31,25864.0,109.3,,,16.1
2005-11-30,35998.0,109.2,,,16.6
2005-12-31,34844.0,110.0,,,16.5
2006-01-31,31470.0,110.3,,,12.6
2006-02-28,55933.0,109.2,,,20.1
2006-03-31,61621.0,109.9,,,17.8
2006-04-30,104297.0,109.4,,,16.6
2006-05-31,262065.0,109.4,,,17.9
2006-06-30,215370.0,109.8,,,19.5
2006-07-31,127415.0,109.7,,,16.7
2006-08-31,69366.0,110.2,,,15.7
2006-09-30,65486.0,111.7,,,16.1
2006-10-31,92023.0,111.6,,,14.7
2006-11-30,137538.0,112.0,,,14.9
2006-12-31,296251.0,113.1,,,14.7
2007-01-31,692561.0,112.4,,,24.71
2007-02-28,435530.0,111.8,,,12.6
2007-03-31,1262266.0,111.0,,,17.6
2007-04-30,2388430.0,112.3,,,17.4
2007-05-31,2787868.0,112.8,,,18.1
2007-06-30,1804084.0,113.7,,,19.4
2007-07-31,981428.0,112.9,,,18.0
2007-08-31,1873693.0,113.5,,,17.5
2007-09-30,1999603.0,113.1,,,18.9
2007-10-31,1773336.0,112.6,,,17.9
2007-11-30,1512421.0,112.0,,,17.3
2007-12-31,1221221.0,113.1,,,17.4
2008-01-31,1250123.0,111.6,,,15.4
2008-02-29,650959.0,110.0,,,15.4
2008-03-31,933997.0,110.3,,,17.8
2008-04-30,770059.0,109.7,37.5,38.0,15.7
2008-05-31,527845.0,110.0,58.6,56.4,16.0
2008-06-30,492782.0,109.8,45.4,45.2,16.0
2008-07-31,470564.0,110.2,40.3,41.5,14.7
2008-08-31,359975.0,109.3,36.3,42.4,12.8
2008-09-30,438991.0,108.9,40.5,46.1,11.4
2008-10-31,353964.0,107.9,42.9,48.9,8.2
2008-11-30,510596.0,105.2,51.8,57.6,5.4
2008-12-31,462931.0,101.8,49.6,54.6,5.7
2009-01-31,162180.0,101.3,53.7,59.1,-2.93
2009-02-28,764669.0,101.0,61.2,66.6,11.0
2009-03-31,727129.0,100.3,61.5,64.5,8.3
2009-04-30,676485.0,100.5,63.6,65.3,7.3
2009-05-31,539689.0,101.2,60.3,61.7,8.9
2009-06-30,813640.0,101.0,63.7,62.4,10.7
2009-07-31,1172468.0,102.1,65.3,62.6,10.8
2009-08-31,1074178.0,102.7,55.2,53.5,12.3
2009-09-30,711203.0,102.8,61.9,61.2,13.9
2009-10-31,426454.0,103.2,70.4,69.0,16.1
2009-11-30,751891.0,103.3,68.9,68.2,19.2
2009-12-31,775717.0,103.9,61.2,60.5,18.5
2010-01-31,570902.0,104.7,56.9,57.1,29.2
2010-02-28,391532.0,104.2,58.5,59.5,12.8
2010-03-31,909563.0,107.9,60.4,59.8,18.1
2010-04-30,636220.0,106.6,55.7,55.0,17.8
2010-05-31,573082.0,108.0,47.8,50.4,16.5
2010-06-30,525643.0,108.5,47.9,51.9,13.7
2010-07-31,534837.0,107.8,52.6,54.5,13.4
2010-08-31,572421.0,107.3,54.0,57.1,13.9
2010-09-30,510093.0,104.1,55.3,58.3,13.3
2010-10-31,586851.0,103.8,68.4,70.4,13.1
2010-11-30,997123.0,102.9,58.6,62.0,13.3
2010-12-31,655855.0,100.4,57.3,59.7,13.5
2011-01-31,396344.0,99.9,53.0,55.1,13.3
2011-02-28,488066.0,99.6,62.6,64.1,14.9
2011-03-31,933735.0,107.6,62.1,63.3,14.8
2011-04-30,475607.0,106.6,59.3,61.0,13.4
2011-05-31,436156.0,105.8,50.5,52.1,13.3
2011-06-30,482466.0,108.1,47.6,50.7,15.1
2011-07-31,403339.0,105.6,58.6,59.6,14.0
2011-08-31,468261.0,105.0,46.7,47.3,13.5
2011-09-30,403097.0,103.4,45.3,48.6,13.8
2011-10-31,265924.0,100.5,48.0,49.6,13.2
2011-11-30,384639.0,97.0,54.9,56.1,12.4
2011-12-31,356472.0,100.5,43.0,45.9,12.8
2012-01-31,160365.0,103.9,53.9,55.3,2.8
2012-02-29,423543.0,105.0,53.2,51.4,21.3
2012-03-31,519517.0,100.0,57.0,57.7,11.9
2012-04-30,166532.0,103.0,52.5,50.8,9.3
2012-05-31,222802.0,104.2,54.1,53.0,9.6
2012-06-30,250842.0,99.3,45.5,45.5,9.5
2012-07-31,186673.0,98.2,41.3,41.3,9.2
2012-08-31,211918.0,99.4,42.5,44.0,8.9
2012-09-30,214213.0,100.8,46.9,48.6,9.2
2012-10-31,142663.0,106.1,53.5,51.4,9.6
2012-11-30,185098.0,105.1,49.6,49.7,10.1
2012-12-31,222913.0,103.7,50.5,50.0,10.3
2013-01-31,239145.0,104.5,62.8,60.4,17.7
2013-02-28,199064.0,108.2,61.7,61.1,2.2
2013-03-31,392795.0,102.6,56.8,55.7,8.9
2013-04-30,153690.0,103.7,52.0,51.5,9.3
2013-05-31,218338.0,99.0,54.5,51.7,9.2
2013-06-30,190116.0,97.0,45.1,48.2,8.9
2013-07-31,186340.0,97.2,44.4,45.5,9.7
2013-08-31,178652.0,97.8,49.7,48.5,10.4
2013-09-30,200672.0,99.8,58.5,55.8,10.2
2013-10-31,186358.0,102.9,58.1,56.3,10.3
2013-11-30,213525.0,98.9,55.6,53.6,10.0
2013-12-31,202531.0,102.3,55.6,54.7,9.7
2014-01-31,170353.0,101.1,46.8,45.8,8.5
2014-02-28,260857.0,103.1,59.0,57.7,8.8
