日期,上证所_市场总成交金额,深交所_市场总成交金额,上证成交变化,深交成交变化,沪深成交总额,沪深成交变化
2002-01-07,3033.0,1758.0,-178.0,-26.0,4791.0,-204.0
2002-01-08,3753.0,1650.0,720.0,-108.0,5403.0,612.0
2002-01-09,4244.0,2294.0,491.0,644.0,6538.0,1135.0
2002-01-10,5530.0,3008.0,1286.0,714.0,8538.0,2000.0
2002-01-11,4516.0,2152.0,-1014.0,-856.0,6668.0,-1870.0
2002-01-14,5422.0,2918.0,906.0,766.0,8340.0,1672.0
2002-01-15,5112.0,2553.0,-310.0,-365.0,7665.0,-675.0
2002-01-16,5790.0,2586.0,678.0,33.0,8376.0,711.0
2002-01-17,4994.0,2582.0,-796.0,-4.0,7576.0,-800.0
2002-01-18,6856.0,3444.0,1862.0,862.0,10300.0,2724.0
2002-01-21,4782.0,2789.0,-2074.0,-655.0,7571.0,-2729.0
2002-01-22,5872.0,3239.0,1090.0,450.0,9111.0,1540.0
2002-01-23,8503.0,4609.0,2631.0,1370.0,13112.0,4001.0
2002-01-24,11732.0,6555.0,3229.0,1946.0,18287.0,5175.0
2002-01-25,6884.0,3900.0,-4848.0,-2655.0,10784.0,-7503.0
2002-01-28,8673.0,4636.0,1789.0,736.0,13309.0,2525.0
2002-01-29,5878.0,3321.0,-2795.0,-1315.0,9199.0,-4110.0
2002-01-30,4721.0,2936.0,-1157.0,-385.0,7657.0,-1542.0
2002-01-31,17119.0,9429.0,12398.0,6493.0,26548.0,18891.0
2002-02-01,12498.0,6815.0,-4621.0,-2614.0,19313.0,-7235.0
2002-02-04,7797.0,4760.0,-4701.0,-2055.0,12557.0,-6756.0
2002-02-05,8942.0,5150.0,1145.0,390.0,14092.0,1535.0
2002-02-06,7683.0,4419.0,-1259.0,-731.0,12102.0,-1990.0
2002-02-07,8516.0,4944.0,833.0,525.0,13460.0,1358.0
2002-02-08,6586.0,4236.0,-1930.0,-708.0,10822.0,-2638.0
2002-02-25,7934.0,4469.0,1348.0,233.0,12403.0,1581.0
2002-02-26,6362.0,4143.0,-1572.0,-326.0,10505.0,-1898.0
2002-02-27,6572.0,3923.0,210.0,-220.0,10495.0,-10.0
2002-02-28,6241.0,3804.0,-331.0,-119.0,10045.0,-450.0
2002-03-01,5351.0,3465.0,-890.0,-339.0,8816.0,-1229.0
2002-03-04,5370.0,3452.0,19.0,-13.0,8822.0,6.0
2002-03-05,11735.0,7196.0,6365.0,3744.0,18931.0,10109.0
2002-03-06,15713.0,11715.0,3978.0,4519.0,27428.0,8497.0
2002-03-07,16104.0,11322.0,391.0,-393.0,27426.0,-2.0
2002-03-08,22807.0,16568.0,6703.0,5246.0,39375.0,11949.0
2002-03-11,19531.0,14229.0,-3276.0,-2339.0,33760.0,-5615.0
2002-03-12,21264.0,14331.0,1733.0,102.0,35595.0,1835.0
2002-03-13,15292.0,10855.0,-5972.0,-3476.0,26147.0,-9448.0
2002-03-14,12392.0,9718.0,-2900.0,-1137.0,22110.0,-4037.0
2002-03-15,14915.0,11117.0,2523.0,1399.0,26032.0,3922.0
2002-03-18,11328.0,7647.0,-3587.0,-3470.0,18975.0,-7057.0
2002-03-19,14085.0,8150.0,2757.0,503.0,22235.0,3260.0
2002-03-20,19463.0,10670.0,5378.0,2520.0,30133.0,7898.0
2002-03-21,14230.0,9320.0,-5233.0,-1350.0,23550.0,-6583.0
2002-03-22,10774.0,7591.0,-3456.0,-1729.0,18365.0,-5185.0
2002-03-25,9427.0,5867.0,-1347.0,-1724.0,15294.0,-3071.0
2002-03-26,9816.0,6347.0,389.0,480.0,16163.0,869.0
2002-03-27,7603.0,5910.0,-2213.0,-437.0,13513.0,-2650.0
2002-03-28,8865.0,6084.0,1262.0,174.0,14949.0,1436.0
2002-03-29,11772.0,6909.0,2907.0,825.0,18681.0,3732.0
2002-04-01,6839.0,4898.0,-4933.0,-2011.0,11737.0,-6944.0
2002-04-02,7593.0,5896.0,754.0,998.0,13489.0,1752.0
2002-04-03,6422.0,5295.0,-1171.0,-601.0,11717.0,-1772.0
2002-04-04,9108.0,6322.0,2686.0,1027.0,15430.0,3713.0
2002-04-05,9849.0,6634.0,741.0,312.0,16483.0,1053.0
2002-04-08,6582.0,4514.0,-3267.0,-2120.0,11096.0,-5387.0
2002-04-09,16660.0,8167.0,10078.0,3653.0,24827.0,13731.0
2002-04-10,12565.0,7495.0,-4095.0,-672.0,20060.0,-4767.0
2002-04-11,9760.0,7154.0,-2805.0,-341.0,16914.0,-3146.0
2002-04-12,8564.0,5733.0,-1196.0,-1421.0,14297.0,-2617.0
2002-04-15,7205.0,5240.0,-1359.0,-493.0,12445.0,-1852.0
2002-04-16,6372.0,4882.0,-833.0,-358.0,11254.0,-1191.0
2002-04-17,5979.0,4353.0,-393.0,-529.0,10332.0,-922.0
2002-04-18,7467.0,4551.0,1488.0,198.0,12018.0,1686.0
2002-04-19,8358.0,5496.0,891.0,945.0,13854.0,1836.0
2002-04-22,5534.0,4264.0,-2824.0,-1232.0,9798.0,-4056.0
2002-04-23,5134.0,3828.0,-400.0,-436.0,8962.0,-836.0
2002-04-24,5085.0,3705.0,-49.0,-123.0,8790.0,-172.0
2002-04-25,4951.0,3561.0,-134.0,-144.0,8512.0,-278.0
2002-04-26,7283.0,4913.0,2332.0,1352.0,12196.0,3684.0
2002-04-29,10874.0,7021.0,3591.0,2108.0,17895.0,5699.0
2002-04-30,10683.0,6997.0,-191.0,-24.0,17680.0,-215.0
2002-05-08,5179.0,3861.0,-5504.0,-3136.0,9040.0,-8640.0
2002-05-09,5960.0,4702.0,781.0,841.0,10662.0,1622.0
2002-05-10,6407.0,5058.0,447.0,356.0,11465.0,803.0
2002-05-13,6157.0,3979.0,-250.0,-1079.0,10136.0,-1329.0
2002-05-14,6109.0,3691.0,-48.0,-288.0,9800.0,-336.0
2002-05-15,6681.0,3685.0,572.0,-6.0,10366.0,566.0
2002-05-16,8214.0,5019.0,1533.0,1334.0,13233.0,2867.0
2002-05-17,7754.0,4654.0,-460.0,-365.0,12408.0,-825.0
2002-05-20,4957.0,3949.0,-2797.0,-705.0,8906.0,-3502.0
2002-05-21,10168.0,8391.0,5211.0,4442.0,18559.0,9653.0
2002-05-22,5937.0,5542.0,-4231.0,-2849.0,11479.0,-7080.0
2002-05-23,6843.0,4627.0,906.0,-915.0,11470.0,-9.0
2002-05-24,5157.0,4443.0,-1686.0,-184.0,9600.0,-1870.0
2002-05-27,3709.0,3105.0,-1448.0,-1338.0,6814.0,-2786.0
2002-05-28,4005.0,3474.0,296.0,369.0,7479.0,665.0
2002-05-29,4944.0,3918.0,939.0,444.0,8862.0,1383.0
2002-05-30,5290.0,3516.0,346.0,-402.0,8806.0,-56.0
2002-05-31,4065.0,2976.0,-1225.0,-540.0,7041.0,-1765.0
2002-06-03,5063.0,3272.0,998.0,296.0,8335.0,1294.0
2002-06-04,4303.0,3364.0,-760.0,92.0,7667.0,-668.0
2002-06-05,4114.0,3150.0,-189.0,-214.0,7264.0,-403.0
2002-06-06,8454.0,5696.0,4340.0,2546.0,14150.0,6886.0
2002-06-07,9191.0,7112.0,737.0,1416.0,16303.0,2153.0
2002-06-10,4270.0,3872.0,-4921.0,-3240.0,8142.0,-8161.0
2002-06-11,4709.0,3762.0,439.0,-110.0,8471.0,329.0
2002-06-12,3736.0,3347.0,-973.0,-415.0,7083.0,-1388.0
2002-06-13,3702.0,3659.0,-34.0,312.0,7361.0,278.0
2002-06-14,3628.0,3041.0,-74.0,-618.0,6669.0,-692.0
2002-06-17,2774.0,2301.0,-854.0,-740.0,5075.0,-1594.0
2002-06-18,5209.0,1266.0,2435.0,-1035.0,6475.0,1400.0
2002-06-19,2904.0,2875.0,-2305.0,1609.0,5779.0,-696.0
2002-06-20,3720.0,3648.0,816.0,773.0,7368.0,1589.0
2002-06-21,11848.0,12356.0,8128.0,8708.0,24204.0,16836.0
2002-06-24,49480.0,32388.0,37632.0,20032.0,81868.0,57664.0
2002-06-25,39277.0,28932.0,-10203.0,-3456.0,68209.0,-13659.0
2002-06-26,22850.0,17636.0,-16427.0,-11296.0,40486.0,-27723.0
2002-06-27,19528.0,11980.0,-3322.0,-5656.0,31508.0,-8978.0
2002-06-28,27319.0,12784.0,7791.0,804.0,40103.0,8595.0
2002-07-01,14410.0,7492.0,-12909.0,-5292.0,21902.0,-18201.0
2002-07-02,12693.0,7159.0,-1717.0,-333.0,19852.0,-2050.0
2002-07-03,13263.0,7067.0,570.0,-92.0,20330.0,478.0
2002-07-04,12857.0,8057.0,-406.0,990.0,20914.0,584.0
2002-07-05,10823.0,4070.0,-2034.0,-3987.0,14893.0,-6021.0
2002-07-08,11099.0,6515.0,276.0,2445.0,17614.0,2721.0
2002-07-09,10445.0,6024.0,-654.0,-491.0,16469.0,-1145.0
2002-07-10,11950.0,6628.0,1505.0,604.0,18578.0,2109.0
2002-07-11,9282.0,5364.0,-2668.0,-1264.0,14646.0,-3932.0
2002-07-12,8391.0,4298.0,-891.0,-1066.0,12689.0,-1957.0
2002-07-15,8026.0,4345.0,-365.0,47.0,12371.0,-318.0
2002-07-16,6946.0,3677.0,-1080.0,-668.0,10623.0,-1748.0
2002-07-17,6253.0,4048.0,-693.0,371.0,10301.0,-322.0
2002-07-18,8110.0,5235.0,1857.0,1187.0,13345.0,3044.0
2002-07-19,7454.0,4562.0,-656.0,-673.0,12016.0,-1329.0
2002-07-22,8274.0,5114.0,820.0,552.0,13388.0,1372.0
2002-07-23,6694.0,4520.0,-1580.0,-594.0,11214.0,-2174.0
2002-07-24,5297.0,3684.0,-1397.0,-836.0,8981.0,-2233.0
2002-07-25,5182.0,3539.0,-115.0,-145.0,8721.0,-260.0
2002-07-26,4861.0,9.0,-321.0,-3530.0,4870.0,-3851.0
2002-07-29,4824.0,2961.0,-37.0,2952.0,7785.0,2915.0
2002-07-30,6117.0,3008.0,1293.0,47.0,9125.0,1340.0
2002-07-31,5325.0,3676.0,-792.0,668.0,9001.0,-124.0
2002-08-01,4698.0,3101.0,-627.0,-575.0,7799.0,-1202.0
2002-08-02,4067.0,3101.0,-631.0,0.0,7168.0,-631.0
2002-08-05,4086.0,2450.0,19.0,-651.0,6536.0,-632.0
2002-08-06,6427.0,4217.0,2341.0,1767.0,10644.0,4108.0
2002-08-07,3610.0,2662.0,-2817.0,-1555.0,6272.0,-4372.0
2002-08-08,4062.0,2600.0,452.0,-62.0,6662.0,390.0
2002-08-09,4857.0,3112.0,795.0,512.0,7969.0,1307.0
2002-08-12,4343.0,2779.0,-514.0,-333.0,7122.0,-847.0
2002-08-13,3157.0,2253.0,-1186.0,-526.0,5410.0,-1712.0
2002-08-14,3083.0,2175.0,-74.0,-78.0,5258.0,-152.0
2002-08-15,3272.0,2149.0,189.0,-26.0,5421.0,163.0
2002-08-16,5367.0,3177.0,2095.0,1028.0,8544.0,3123.0
2002-08-19,3515.0,2379.0,-1852.0,-798.0,5894.0,-2650.0
2002-08-20,7430.0,4842.0,3915.0,2463.0,12272.0,6378.0
2002-08-21,6019.0,4284.0,-1411.0,-558.0,10303.0,-1969.0
2002-08-22,9449.0,6633.0,3430.0,2349.0,16082.0,5779.0
2002-08-23,6200.0,4166.0,-3249.0,-2467.0,10366.0,-5716.0
2002-08-26,5367.0,4259.0,-833.0,93.0,9626.0,-740.0
2002-08-27,7074.0,5586.0,1707.0,1327.0,12660.0,3034.0
2002-08-28,6440.0,4325.0,-634.0,-1261.0,10765.0,-1895.0
2002-08-29,4472.0,4056.0,-1968.0,-269.0,8528.0,-2237.0
2002-08-30,4261.0,2813.0,-211.0,-1243.0,7074.0,-1454.0
2002-09-02,3720.0,2732.0,-541.0,-81.0,6452.0,-622.0
2002-09-03,4261.0,3133.0,541.0,401.0,7394.0,942.0
2002-09-04,4101.0,3356.0,-160.0,223.0,7457.0,63.0
2002-09-05,6144.0,4264.0,2043.0,908.0,10408.0,2951.0
2002-09-06,5270.0,3421.0,-874.0,-843.0,8691.0,-1717.0
2002-09-09,4153.0,3107.0,-1117.0,-314.0,7260.0,-1431.0
2002-09-10,3755.0,2330.0,-398.0,-777.0,6085.0,-1175.0
2002-09-11,4428.0,1467.0,673.0,-863.0,5895.0,-190.0
2002-09-12,3722.0,2457.0,-706.0,990.0,6179.0,284.0
2002-09-13,3362.0,1918.0,-360.0,-539.0,5280.0,-899.0
2002-09-16,4618.0,2618.0,1256.0,700.0,7236.0,1956.0
2002-09-17,4214.0,2852.0,-404.0,234.0,7066.0,-170.0
2002-09-18,3683.0,1988.0,-531.0,-864.0,5671.0,-1395.0
2002-09-19,5683.0,3714.0,2000.0,1726.0,9397.0,3726.0
2002-09-20,3892.0,2785.0,-1791.0,-929.0,6677.0,-2720.0
2002-09-23,2768.0,1963.0,-1124.0,-822.0,4731.0,-1946.0
2002-09-24,3328.0,2230.0,560.0,267.0,5558.0,827.0
2002-09-25,3854.0,3011.0,526.0,781.0,6865.0,1307.0
2002-09-26,4417.0,2812.0,563.0,-199.0,7229.0,364.0
2002-09-27,4188.0,2648.0,-229.0,-164.0,6836.0,-393.0
2002-10-08,2660.0,1707.0,-1528.0,-941.0,4367.0,-2469.0
2002-10-09,7574.0,2190.0,4914.0,483.0,9764.0,5397.0
2002-10-10,3588.0,1681.0,-3986.0,-509.0,5269.0,-4495.0
2002-10-11,4645.0,1690.0,1057.0,9.0,6335.0,1066.0
2002-10-14,4097.0,2180.0,-548.0,490.0,6277.0,-58.0
2002-10-15,2974.0,1905.0,-1123.0,-275.0,4879.0,-1398.0
2002-10-16,4013.0,2457.0,1039.0,552.0,6470.0,1591.0
2002-10-17,3407.0,2115.0,-606.0,-342.0,5522.0,-948.0
2002-10-18,3542.0,2246.0,135.0,131.0,5788.0,266.0
2002-10-21,2947.0,1774.0,-595.0,-472.0,4721.0,-1067.0
2002-10-22,5564.0,3266.0,2617.0,1492.0,8830.0,4109.0
2002-10-23,4166.0,2661.0,-1398.0,-605.0,6827.0,-2003.0
2002-10-24,4208.0,2783.0,42.0,122.0,6991.0,164.0
2002-10-25,4438.0,2438.0,230.0,-345.0,6876.0,-115.0
2002-10-28,4087.0,2342.0,-351.0,-96.0,6429.0,-447.0
2002-10-29,4214.0,2432.0,127.0,90.0,6646.0,217.0
2002-10-30,3383.0,2387.0,-831.0,-45.0,5770.0,-876.0
2002-10-31,3154.0,2228.0,-229.0,-159.0,5382.0,-388.0
2002-11-01,3149.0,2028.0,-5.0,-200.0,5177.0,-205.0
2002-11-04,4342.0,3097.0,1193.0,1069.0,7439.0,2262.0
2002-11-05,10528.0,6007.0,6186.0,2910.0,16535.0,9096.0
2002-11-06,6151.0,3434.0,-4377.0,-2573.0,9585.0,-6950.0
2002-11-07,5551.0,3174.0,-600.0,-260.0,8725.0,-860.0
2002-11-08,7541.0,3974.0,1990.0,800.0,11515.0,2790.0
2002-11-11,3856.0,2310.0,-3685.0,-1664.0,6166.0,-5349.0
2002-11-12,6213.0,3457.0,2357.0,1147.0,9670.0,3504.0
2002-11-13,5324.0,3106.0,-889.0,-351.0,8430.0,-1240.0
2002-11-14,4954.0,2935.0,-370.0,-171.0,7889.0,-541.0
2002-11-15,5276.0,3209.0,322.0,274.0,8485.0,596.0
2002-11-18,3701.0,2232.0,-1575.0,-977.0,5933.0,-2552.0
2002-11-19,3710.0,2422.0,9.0,190.0,6132.0,199.0
2002-11-20,4812.0,2503.0,1102.0,81.0,7315.0,1183.0
2002-11-21,5483.0,3178.0,671.0,675.0,8661.0,1346.0
2002-11-22,5403.0,3136.0,-80.0,-42.0,8539.0,-122.0
2002-11-25,3416.0,1956.0,-1987.0,-1180.0,5372.0,-3167.0
2002-11-26,4174.0,2246.0,758.0,290.0,6420.0,1048.0
2002-11-27,5333.0,2599.0,1159.0,353.0,7932.0,1512.0
2002-11-28,6209.0,3387.0,876.0,788.0,9596.0,1664.0
2002-11-29,12268.0,6294.0,6059.0,2907.0,18562.0,8966.0
2002-12-02,5663.0,2800.0,-6605.0,-3494.0,8463.0,-10099.0
2002-12-03,4219.0,2151.0,-1444.0,-649.0,6370.0,-2093.0
2002-12-04,6504.0,2755.0,2285.0,604.0,9259.0,2889.0
2002-12-05,3977.0,2071.0,-2527.0,-684.0,6048.0,-3211.0
2002-12-06,3309.0,2010.0,-668.0,-61.0,5319.0,-729.0
2002-12-09,2787.0,1590.0,-522.0,-420.0,4377.0,-942.0
2002-12-10,4342.0,2095.0,1555.0,505.0,6437.0,2060.0
2002-12-11,3643.0,1958.0,-699.0,-137.0,5601.0,-836.0
2002-12-12,3792.0,2282.0,149.0,324.0,6074.0,473.0
2002-12-13,4621.0,2821.0,829.0,539.0,7442.0,1368.0
2002-12-16,5247.0,3375.0,626.0,554.0,8622.0,1180.0
2002-12-17,4766.0,3719.0,-481.0,344.0,8485.0,-137.0
2002-12-18,5287.0,4106.0,521.0,387.0,9393.0,908.0
2002-12-19,4209.0,2866.0,-1078.0,-1240.0,7075.0,-2318.0
2002-12-20,5349.0,4001.0,1140.0,1135.0,9350.0,2275.0
2002-12-23,5474.0,4187.0,125.0,186.0,9661.0,311.0
2002-12-24,4605.0,3011.0,-869.0,-1176.0,7616.0,-2045.0
2002-12-25,4680.0,3476.0,75.0,465.0,8156.0,540.0
2002-12-26,7055.0,4113.0,2375.0,637.0,11168.0,3012.0
2002-12-27,5691.0,3776.0,-1364.0,-337.0,9467.0,-1701.0
2002-12-30,5328.0,3106.0,-363.0,-670.0,8434.0,-1033.0
2002-12-31,5834.0,3127.0,506.0,21.0,8961.0,527.0
2003-01-02,3883.0,2423.0,-1951.0,-704.0,6306.0,-2655.0
2003-01-03,2724.0,1949.0,-1159.0,-474.0,4673.0,-1633.0
2003-01-06,3975.0,2274.0,1251.0,325.0,6249.0,1576.0
2003-01-07,4412.0,2492.0,437.0,218.0,6904.0,655.0
2003-01-08,5582.0,3386.0,1170.0,894.0,8968.0,2064.0
2003-01-09,11213.0,6345.0,5631.0,2959.0,17558.0,8590.0
2003-01-10,10558.0,5838.0,-655.0,-507.0,16396.0,-1162.0
2003-01-13,5874.0,3472.0,-4684.0,-2366.0,9346.0,-7050.0
2003-01-14,22790.0,11644.0,16916.0,8172.0,34434.0,25088.0
2003-01-15,21334.0,10025.0,-1456.0,-1619.0,31359.0,-3075.0
2003-01-16,15742.0,7104.0,-5592.0,-2921.0,22846.0,-8513.0
2003-01-17,13392.0,6782.0,-2350.0,-322.0,20174.0,-2672.0
2003-01-20,10671.0,5425.0,-2721.0,-1357.0,16096.0,-4078.0
2003-01-21,9956.0,5669.0,-715.0,244.0,15625.0,-471.0
2003-01-22,7782.0,4942.0,-2174.0,-727.0,12724.0,-2901.0
2003-01-23,7382.0,4637.0,-400.0,-305.0,12019.0,-705.0
2003-01-24,9229.0,4692.0,1847.0,55.0,13921.0,1902.0
2003-01-27,9355.0,5640.0,126.0,948.0,14995.0,1074.0
2003-01-28,7256.0,4329.0,-2099.0,-1311.0,11585.0,-3410.0
2003-01-29,8114.0,5012.0,858.0,683.0,13126.0,1541.0
2003-02-10,5043.0,3071.0,-3071.0,-1941.0,8114.0,-5012.0
2003-02-11,4381.0,3077.0,-662.0,6.0,7458.0,-656.0
2003-02-12,7500.0,4861.0,3119.0,1784.0,12361.0,4903.0
2003-02-13,9421.0,5941.0,1921.0,1080.0,15362.0,3001.0
2003-02-14,6996.0,4328.0,-2425.0,-1613.0,11324.0,-4038.0
2003-02-17,7750.0,4673.0,754.0,345.0,12423.0,1099.0
2003-02-18,5474.0,3490.0,-2276.0,-1183.0,8964.0,-3459.0
2003-02-19,6596.0,3472.0,1122.0,-18.0,10068.0,1104.0
2003-02-20,7000.0,3835.0,404.0,363.0,10835.0,767.0
2003-02-21,7980.0,4738.0,980.0,903.0,12718.0,1883.0
2003-02-24,5642.0,4804.0,-2338.0,66.0,10446.0,-2272.0
2003-02-25,8478.0,6347.0,2836.0,1543.0,14825.0,4379.0
2003-02-26,6301.0,8893.0,-2177.0,2546.0,15194.0,369.0
2003-02-27,6662.0,5995.0,361.0,-2898.0,12657.0,-2537.0
2003-02-28,5963.0,5997.0,-699.0,2.0,11960.0,-697.0
2003-03-03,8064.0,5385.0,2101.0,-612.0,13449.0,1489.0
2003-03-04,7493.0,5487.0,-571.0,102.0,12980.0,-469.0
2003-03-05,6170.0,6395.0,-1323.0,908.0,12565.0,-415.0
2003-03-06,7179.0,6332.0,1009.0,-63.0,13511.0,946.0
2003-03-07,5820.0,8474.0,-1359.0,2142.0,14294.0,783.0
2003-03-10,6221.0,6713.0,401.0,-1761.0,12934.0,-1360.0
2003-03-11,4599.0,5529.0,-1622.0,-1184.0,10128.0,-2806.0
2003-03-12,4575.0,5259.0,-24.0,-270.0,9834.0,-294.0
2003-03-13,4667.0,5470.0,92.0,211.0,10137.0,303.0
2003-03-14,4276.0,5982.0,-391.0,512.0,10258.0,121.0
2003-03-17,5114.0,5586.0,838.0,-396.0,10700.0,442.0
2003-03-18,5163.0,6315.0,49.0,729.0,11478.0,778.0
2003-03-19,5647.0,4917.0,484.0,-1398.0,10564.0,-914.0
2003-03-20,5679.0,5938.0,32.0,1021.0,11617.0,1053.0
2003-03-21,4861.0,5628.0,-818.0,-310.0,10489.0,-1128.0
2003-03-24,4334.0,4975.0,-527.0,-653.0,9309.0,-1180.0
2003-03-25,4975.0,5852.0,641.0,877.0,10827.0,1518.0
2003-03-26,4954.0,5823.0,-21.0,-29.0,10777.0,-50.0
2003-03-27,10967.0,7677.0,6013.0,1854.0,18644.0,7867.0
2003-03-28,11082.0,8152.0,115.0,475.0,19234.0,590.0
2003-03-31,8913.0,7703.0,-2169.0,-449.0,16616.0,-2618.0
2003-04-01,11607.0,10194.0,2694.0,2491.0,21801.0,5185.0
2003-04-02,7778.0,7627.0,-3829.0,-2567.0,15405.0,-6396.0
2003-04-03,7149.0,7081.0,-629.0,-546.0,14230.0,-1175.0
2003-04-04,7626.0,8320.0,477.0,1239.0,15946.0,1716.0
2003-04-07,9653.0,8345.0,2027.0,25.0,17998.0,2052.0
2003-04-08,11295.0,8892.0,1642.0,547.0,20187.0,2189.0
2003-04-09,18579.0,9924.0,7284.0,1032.0,28503.0,8316.0
