,日期,滚动市盈率_TTM_沪深两市,上证_A股_平均市盈率,深交所_A股_平均市盈率,市盈率_沪深300,市盈率_申万300指数,10年期国债收益率,沪深两市风险溢价
0,2002-01-04,,36.74,,,33.57,,
1,2002-01-07,,36.44,,,33.24,,
2,2002-01-08,,36.19,,,33.01,,
3,2002-01-09,,35.7,,,32.55,,
4,2002-01-10,,36.05,,,32.76,,
5,2002-01-11,,35.15,,,31.98,,
6,2002-01-14,,34.04,,,30.87,,
7,2002-01-15,,33.45,,,30.36,,
8,2002-01-16,,33.93,,,30.72,,
9,2002-01-17,,32.55,,,29.51,,
10,2002-01-18,,32.42,,,29.5,,
11,2002-01-21,,31.38,,,28.57,,
12,2002-01-22,,31.26,,,28.67,,
13,2002-01-23,,33.27,,,30.45,,
14,2002-01-24,,33.53,,,30.56,,
15,2002-01-25,,33.36,,,30.51,,
16,2002-01-28,,31.27,,,28.57,,
17,2002-01-29,,32.04,,,29.24,,
18,2002-01-30,,32.12,,,29.3,,
19,2002-01-31,,34.31,,,31.25,,
20,2002-02-01,,34.12,,,31.13,,
21,2002-02-04,,34.74,,,31.64,,
22,2002-02-05,,34.92,,,31.85,,
23,2002-02-06,,34.19,,,31.14,,
24,2002-02-07,,34.91,,,31.76,,
25,2002-02-08,,34.72,,,31.61,,
26,2002-02-25,,35.25,,,32.11,,
27,2002-02-26,,35.27,,,32.03,,
28,2002-02-27,,35.43,,,32.11,,
29,2002-02-28,,35.11,,,31.84,,
30,2002-03-01,,34.61,,,31.44,,
31,2002-03-04,,35.18,,,31.91,,
32,2002-03-05,,36.13,,,32.6,,
33,2002-03-06,,36.33,,,32.84,,
34,2002-03-07,,37.34,,,33.77,,
35,2002-03-08,,37.98,,,34.38,,
36,2002-03-11,,38.53,,,34.97,,
37,2002-03-12,,38.06,,,34.6,,
38,2002-03-13,,37.6,,,34.19,,
39,2002-03-14,,38.55,,,34.97,,
40,2002-03-15,,37.53,,,34.07,,
41,2002-03-18,,37.62,,,34.14,,
42,2002-03-19,,38.6,,,34.83,,
43,2002-03-20,,38.99,,,35.2,,
44,2002-03-21,,39.06,,,35.24,,
45,2002-03-22,,38.7,,,34.89,,
46,2002-03-25,,38.83,,,34.99,,
47,2002-03-26,,38.22,,,34.43,,
48,2002-03-27,,38.32,,,34.49,,
49,2002-03-28,,38.25,,,34.43,,
50,2002-03-29,,37.16,,,33.47,,
51,2002-04-01,,37.26,,,33.56,,
52,2002-04-02,,36.66,,,33.01,,
53,2002-04-03,,36.93,,,33.16,,
54,2002-04-04,,38.04,,,34.05,,
55,2002-04-05,,37.87,,,33.89,,
56,2002-04-08,,38.01,,,33.8,,
57,2002-04-09,,39.06,,,34.35,,
58,2002-04-10,,39.3,,,34.59,,
59,2002-04-11,,38.63,,,34.04,,
60,2002-04-12,,38.89,,,34.18,,
61,2002-04-15,,38.65,,,33.95,,
62,2002-04-16,,38.46,,,33.92,,
63,2002-04-17,,38.57,,,33.93,,
64,2002-04-18,,38.18,,,33.6,,
65,2002-04-19,,38.33,,,33.67,,
66,2002-04-22,,38.16,,,33.49,,
67,2002-04-23,,38.09,,,33.31,,
68,2002-04-24,,37.77,,,33.1,,
69,2002-04-25,,37.89,,,33.17,,
70,2002-04-26,,38.44,,,33.63,,
71,2002-04-29,,39.02,,,34.06,,
72,2002-04-30,,39.08,,,34.15,,
73,2002-05-08,,42.19,,,40.61,,
74,2002-05-09,,42.12,,,40.62,,
75,2002-05-10,,41.85,,,40.36,,
76,2002-05-13,,41.47,,,39.85,,
77,2002-05-14,,41.26,,,39.65,,
78,2002-05-15,,40.81,,,39.27,,
79,2002-05-16,,39.55,,,38.12,,
80,2002-05-17,,40.05,,,38.53,,
81,2002-05-20,,39.35,,,38.03,,
82,2002-05-21,,40.54,,,39.22,,
83,2002-05-22,,39.96,,,38.63,,
84,2002-05-23,,40.12,,,38.74,,
85,2002-05-24,,39.54,,,38.18,,
86,2002-05-27,,39.69,,,38.27,,
87,2002-05-28,,39.79,,,38.4,,
88,2002-05-29,,38.94,,,37.71,,
89,2002-05-30,,38.93,,,37.72,,
90,2002-05-31,,38.75,,,37.5,,
91,2002-06-03,,37.94,,,36.78,,
92,2002-06-04,,38.1,,,37.01,,
93,2002-06-05,,37.42,,,36.37,,
94,2002-06-06,,38.93,,,37.78,,
95,2002-06-07,,39.13,,,37.99,,
96,2002-06-10,,38.82,,,37.72,,
97,2002-06-11,,39.15,,,37.98,,
98,2002-06-12,,39.0,,,37.83,,
99,2002-06-13,,38.68,,,37.48,,
100,2002-06-14,,38.24,,,37.08,,
101,2002-06-17,,38.31,,,37.13,,
102,2002-06-18,,39.0,,,37.81,,
103,2002-06-19,,38.57,,,37.38,,
104,2002-06-20,,38.81,,,37.63,,
105,2002-06-21,,39.99,,,38.86,,
106,2002-06-24,,43.7,,,42.47,,
107,2002-06-25,,43.72,,,42.34,,
108,2002-06-26,,43.89,,,42.61,,
109,2002-06-27,,44.18,,,42.72,,
110,2002-06-28,,44.47,,,43.02,,
