日期,换手率_上证综合指数,换手率_深证成份指数,换手率_创业板指数,换手率_上证50指数,换手率_沪深300指数,换手率_中证500指数
2002-01-04,0.362,0.2137,,,,
2002-01-07,0.3614,0.2073,,,,
2002-01-08,0.368,0.231,,,,
2002-01-09,0.4753,0.2668,,,,
2002-01-10,0.6499,0.4572,,,,
2002-01-11,0.6674,0.3158,,,,
2002-01-14,0.7117,0.5499,,,,
2002-01-15,0.677,0.4297,,,,
2002-01-16,0.7835,0.403,,,,
2002-01-17,0.6975,0.4386,,,,
2002-01-18,0.947,0.6136,,,,
2002-01-21,0.6767,0.6227,,,,
2002-01-22,0.8011,0.6541,,,,
2002-01-23,1.1963,0.7739,,,,
2002-01-24,1.6677,1.0888,,,,
2002-01-25,0.9918,0.4919,,,,
2002-01-28,1.2742,0.8322,,,,
2002-01-29,0.887,0.5502,,,,
2002-01-30,0.7387,0.4283,,,,
2002-01-31,2.2629,1.6961,,,,
2002-02-01,1.5878,1.0693,,,,
2002-02-04,1.0275,0.7641,,,,
2002-02-05,1.1887,0.7676,,,,
2002-02-06,1.0314,0.6758,,,,
2002-02-07,1.1966,0.6617,,,,
2002-02-08,0.862,0.5649,,,,
2002-02-25,1.0009,0.8494,,,,
2002-02-26,0.8298,0.6295,,,,
2002-02-27,0.9046,0.498,,,,
2002-02-28,0.8034,0.6044,,,,
2002-03-01,0.7145,0.5752,,,,
2002-03-04,0.6958,0.4243,,,,
2002-03-05,1.4334,0.9726,,,,
2002-03-06,1.9777,1.8828,,,,
2002-03-07,2.0255,2.0493,,,,
2002-03-08,2.8372,3.1197,,,,
2002-03-11,2.42,2.2699,,,,
2002-03-12,2.6066,2.2669,,,,
2002-03-13,1.8802,1.6634,,,,
2002-03-14,1.4789,1.3772,,,,
2002-03-15,1.7136,1.591,,,,
2002-03-18,1.6089,1.1387,,,,
2002-03-19,1.6677,1.1206,,,,
2002-03-20,2.2545,1.297,,,,
2002-03-21,1.6927,1.3889,,,,
2002-03-22,1.2788,0.9045,,,,
2002-03-25,1.1102,0.6091,,,,
2002-03-26,1.1562,0.73,,,,
2002-03-27,0.8876,0.5626,,,,
