日期,沪深两市上涨家数,沪深两市平盘家数,沪深两市下跌家数,沪深两市涨停家数,沪深两市跌停家数,沪深两市涨跌家数比例,沪深两市总交易家数,沪深两市涨停家数占比,沪深两市上涨家数占比
2002-01-04,118,26,992,10,3,0.11895161290322581,1136,0.008802816901408451,0.10387323943661972
2002-01-07,169,38,929,1,6,0.18191603875134554,1136,0.0008802816901408451,0.1487676056338028
2002-01-08,186,69,882,1,11,0.2108843537414966,1137,0.0008795074758135445,0.16358839050131926
2002-01-09,99,36,1002,3,20,0.09880239520958084,1137,0.002638522427440633,0.0870712401055409
2002-01-10,859,38,240,1,5,3.5791666666666666,1137,0.0008795074758135445,0.7554969217238346
2002-01-11,49,15,1074,0,23,0.04562383612662942,1138,0.0,0.04305799648506151
2002-01-14,35,32,1071,1,53,0.032679738562091505,1138,0.0008787346221441124,0.030755711775043937
2002-01-15,143,53,942,2,42,0.15180467091295116,1138,0.0017574692442882249,0.1256590509666081
2002-01-16,906,41,192,0,19,4.71875,1139,0.0,0.7954345917471466
2002-01-17,22,23,1094,1,83,0.02010968921389397,1139,0.000877963125548727,0.019315188762071993
2002-01-18,397,32,710,2,46,0.5591549295774648,1139,0.001755926251097454,0.3485513608428446
2002-01-21,62,36,1041,0,181,0.059558117195004805,1139,0.0,0.05443371378402107
2002-01-22,457,57,625,3,93,0.7312,1139,0.0026338893766461808,0.40122914837576823
2002-01-23,1095,20,24,192,7,45.625,1139,0.16856892010535557,0.961369622475856
2002-01-24,746,56,337,18,2,2.2136498516320473,1139,0.015803336259877086,0.6549604916593503
2002-01-25,497,57,585,29,1,0.8495726495726496,1139,0.025460930640913083,0.4363476733977173
2002-01-28,22,33,1084,3,169,0.02029520295202952,1139,0.0026338893766461808,0.019315188762071993
2002-01-29,1037,29,73,23,4,14.205479452054794,1139,0.02019315188762072,0.9104477611940298
2002-01-30,760,65,314,13,2,2.4203821656050954,1139,0.01141352063213345,0.6672519754170325
2002-01-31,1118,20,2,139,0,559.0,1140,0.12192982456140351,0.980701754385965
2002-02-01,412,47,681,19,3,0.604992657856094,1140,0.016666666666666666,0.36140350877192984
2002-02-04,1059,33,48,25,0,22.0625,1140,0.021929824561403508,0.9289473684210526
2002-02-05,550,74,517,18,0,1.0638297872340425,1141,0.015775635407537247,0.4820333041191937
2002-02-06,84,35,1022,7,17,0.0821917808219178,1141,0.006134969325153374,0.0736196319018405
2002-02-07,1088,29,25,19,0,43.52,1142,0.016637478108581436,0.9527145359019265
2002-02-08,343,59,740,15,0,0.4635135135135135,1142,0.013134851138353765,0.30035026269702275
2002-02-25,1039,40,63,22,0,16.49206349206349,1142,0.01926444833625219,0.9098073555166375
2002-02-26,584,64,494,19,0,1.1821862348178138,1142,0.016637478108581436,0.51138353765324
