日期,沪市港股通_当日资金净流入_人民币,深市港股通_当日资金净流入_人民币,沪股通_当日资金净流入_人民币,深股通_当日资金净流入_人民币,融资买入额,融券卖出额,融资融券交易金额,融资融券余额,北上资金净流入,融资融券余额变化率
2010-03-31,,,,,0.07,,,0.07,,
2010-04-01,,,,,0.1,,,0.14,,1.0
2010-04-02,,,,,0.06,,,0.13,,-0.07142857142857151
2010-04-06,,,,,0.07,,,0.15,,0.15384615384615374
2010-04-07,,,,,0.22,,,0.37,,1.4666666666666668
2010-04-08,,,,,0.12,,,0.45,,0.21621621621621623
2010-04-09,,,,,0.31,,,0.71,,0.5777777777777777
2010-04-12,,,,,0.51,,,1.14,,0.6056338028169013
2010-04-13,,,,,0.28,,,1.2,,0.05263157894736836
2010-04-14,,,,,0.17,,,1.21,,0.008333333333333304
2010-04-15,,,,,0.38,,,1.51,,0.24793388429752072
2010-04-16,,,,,0.36,,,1.8,,0.19205298013245042
2010-04-19,,,,,0.25,,,1.88,,0.04444444444444429
2010-04-20,,,,,0.1,,,1.94,,0.03191489361702127
2010-04-21,,,,,0.21,,,2.06,,0.061855670103092786
2010-04-22,,,,,0.57,,,2.59,,0.25728155339805814
2010-04-23,,,,,0.34,,,2.64,,0.01930501930501949
2010-04-26,,,,,0.44,,,3.04,,0.15151515151515138
2010-04-27,,,,,0.41,,,3.24,,0.06578947368421062
2010-04-28,,,,,0.46,,,3.58,,0.1049382716049383
2010-04-29,,,,,0.36,,,3.73,,0.04189944134078205
2010-04-30,,,,,0.46,,,3.85,,0.03217158176943702
2010-05-04,,,,,0.33,,,4.0,,0.03896103896103886
2010-05-05,,,,,1.03,,,4.82,,0.20500000000000007
2010-05-06,,,,,0.93,,,5.35,,0.10995850622406622
2010-05-07,,,,,0.62,,,5.33,,-0.0037383177570092796
2010-05-10,,,,,0.54,,,5.62,,0.054409005628517804
2010-05-11,,,,,0.67,,,5.97,,0.06227758007117434
2010-05-12,,,,,0.53,,,6.24,,0.045226130653266416
2010-05-13,,,,,0.53,,,6.43,,0.03044871794871784
2010-05-14,,,,,0.6,,,6.72,,0.04510108864696738
2010-05-17,,,,,0.95,,,7.38,,0.09821428571428581
2010-05-18,,,,,0.6,,,7.55,,0.023035230352303593
2010-05-19,,,,,0.41,,,7.73,,0.02384105960264904
2010-05-20,,,,,0.59,,,8.04,,0.040103492884864034
