日期,收盘价,基差,指数,贴水率
2010-01-04,,,,
2010-01-05,,,,
2010-01-06,,,,
2010-01-07,,,,
2010-01-08,,,,
2010-01-11,,,,
2010-01-12,,,,
2010-01-13,,,,
2010-01-14,,,,
2010-01-15,,,,
2010-01-18,,,,
2010-01-19,,,,
2010-01-20,,,,
2010-01-21,,,,
2010-01-22,,,,
2010-01-25,,,,
2010-01-26,,,,
2010-01-27,,,,
2010-01-28,,,,
2010-01-29,,,,
2010-02-01,,,,
2010-02-02,,,,
2010-02-03,,,,
2010-02-04,,,,
2010-02-05,,,,
2010-02-08,,,,
2010-02-09,,,,
2010-02-10,,,,
2010-02-11,,,,
2010-02-12,,,,
2010-02-22,,,,
2010-02-23,,,,
2010-02-24,,,,
2010-02-25,,,,
2010-02-26,,,,
2010-03-01,,,,
2010-03-02,,,,
2010-03-03,,,,
2010-03-04,,,,
2010-03-05,,,,
2010-03-08,,,,
2010-03-09,,,,
2010-03-10,,,,
2010-03-11,,,,
2010-03-12,,,,
2010-03-15,,,,
2010-03-16,,,,
2010-03-17,,,,
2010-03-18,,,,
2010-03-19,,,,
2010-03-22,,,,
2010-03-23,,,,
2010-03-24,,,,
2010-03-25,,,,
2010-03-26,,,,
2010-03-29,,,,
2010-03-30,,,,
2010-03-31,,,,
2010-04-01,,,,
2010-04-02,,,,
2010-04-06,,,,
2010-04-07,,,,
2010-04-08,,,,
2010-04-09,,,,
2010-04-12,,,,
2010-04-13,,,,
2010-04-14,,,,
2010-04-15,,,,
2010-04-16,3415.6,59.26800000000003,3356.332,0.01765856297887099
2010-04-19,3197.4,20.977000000000317,3176.423,0.006603969307614357
2010-04-20,3214.6,41.22600000000011,3173.374,0.012991220070499132
2010-04-21,3267.2,30.52099999999973,3236.679,0.009429727198773722
2010-04-22,3236.2,34.65899999999965,3201.541,0.010825724237171928
2010-04-23,3221.2,31.19699999999966,3190.003,0.00977961462732156
2010-04-26,3219.6,47.603000000000065,3171.997,0.015007265139279788
2010-04-27,3138.8,30.391000000000076,3108.409,0.009777027411772414
2010-04-28,3129.0,31.646999999999935,3097.353,0.010217434047717498
2010-04-29,3083.8,23.73600000000033,3060.064,0.007756700513453422
2010-04-30,3107.0,39.63500000000022,3067.365,0.012921514068263876
2010-05-04,3076.4,56.95100000000002,3019.449,0.018861388286405906
2010-05-05,3076.4,40.00600000000031,3036.394,0.013175496987545198
2010-05-06,2967.4,70.54399999999987,2896.856,0.024351918079462652
2010-05-07,2897.6,60.810999999999694,2836.789,0.021436560843968194
2010-05-10,2918.0,59.766999999999825,2858.233,0.02091047160955731
2010-05-11,2801.6,0.7829999999999018,2800.817,0.0002795612851535469
2010-05-12,2836.2,18.039999999999964,2818.16,0.006401339881341004
2010-05-13,2894.6,7.688999999999851,2886.911,0.00266340043042541
2010-05-14,2862.6,-5.423000000000229,2868.023,-0.0018908495503697944
2010-05-17,2719.0,4.2849999999998545,2714.715,0.0015784345686379064
2010-05-18,2779.0,7.652000000000044,2771.348,0.002761111199315295
2010-05-19,2763.4,1.2260000000001128,2762.174,0.00044385328368166265
2010-05-20,2735.0,8.978000000000065,2726.022,0.0032934437066172123
2010-05-21,2749.8,-18.990999999999985,2768.791,-0.0068589503505320495
2010-05-24,2902.0,28.53099999999995,2873.469,0.009929113555775249
2010-05-25,2813.2,-0.7430000000003929,2813.943,-0.00026404230647187693
2010-05-26,2839.6,25.65599999999995,2813.944,0.009117452230748
2010-05-27,2901.4,41.42100000000028,2859.979,0.014482973476378771
2010-05-28,2865.2,14.897999999999683,2850.302,0.005226814562105939
2010-05-31,2792.0,18.735999999999876,2773.264,0.006755938129222416
2010-06-01,2762.0,17.838000000000193,2744.162,0.006500345096244389
2010-06-02,2776.4,18.873000000000047,2757.527,0.006844175959111206
2010-06-03,2748.0,11.923999999999978,2736.076,0.004358066077111885
2010-06-04,2761.0,16.608999999999924,2744.391,0.006051980202529422
2010-06-07,2706.2,10.484999999999673,2695.715,0.003889506123607159
2010-06-08,2724.4,25.064000000000306,2699.336,0.009285246445792709
2010-06-09,2788.8,6.667000000000371,2782.133,0.0023963627907078386
2010-06-10,2769.6,19.57699999999977,2750.023,0.007118849551440032
2010-06-11,2765.8,6.9340000000001965,2758.866,0.0025133515002179144
2010-06-17,2744.2,1.4669999999996435,2742.733,0.0005348679583465264
2010-06-18,2716.8,20.634000000000015,2696.166,0.007653089609467671
2010-06-21,2804.8,24.13700000000017,2780.663,0.008680303941901687
2010-06-22,2797.6,13.88000000000011,2783.72,0.004986133662868431
2010-06-23,2765.2,6.704999999999927,2758.495,0.0024306732475498152
2010-06-24,2771.0,13.501999999999953,2757.498,0.004896467739958452
2010-06-25,2753.8,17.513000000000375,2736.287,0.006400278918110701
2010-06-28,2741.6,24.822999999999865,2716.777,0.009136929530837409
2010-06-29,2600.4,8.381000000000313,2592.019,0.003233386792303727
2010-06-30,2579.0,15.929999999999836,2563.07,0.006215202862192541
2010-07-01,2545.2,19.128999999999905,2526.071,0.007572629589587904
2010-07-02,2546.0,11.894999999999982,2534.105,0.004693964930419214
2010-07-05,2530.6,17.94900000000007,2512.651,0.007143451279147032
2010-07-06,2564.6,1.6979999999998654,2562.902,0.0006625302098948244
2010-07-07,2568.4,-12.07699999999977,2580.477,-0.004680142469783598
2010-07-08,2569.0,-6.920999999999822,2575.921,-0.0026868060006497957
2010-07-09,2650.0,2.8960000000001855,2647.104,0.001094025773071321
2010-07-12,2660.6,-15.617999999999938,2676.218,-0.00583584745338382
2010-07-13,2626.0,-8.592999999999847,2634.593,-0.0032616043540690527
2010-07-14,2647.0,-6.608999999999924,2653.609,-0.0024905703892321453
2010-07-15,2604.0,-4.518999999999778,2608.519,-0.0017324006457303085
2010-07-16,2596.0,-20.128000000000156,2616.128,-0.007693813146757405
2010-07-19,2697.6,15.127999999999702,2682.472,0.005639574243458907
2010-07-20,2746.0,4.496999999999844,2741.503,0.0016403410829752304
2010-07-21,2744.4,-2.9349999999999454,2747.335,-0.0010683080148580152
2010-07-22,2784.4,3.1140000000000327,2781.286,0.001119625957201105
2010-07-23,2783.6,-9.476000000000113,2793.076,-0.003392675315673513
2010-07-26,2796.8,-14.254999999999654,2811.055,-0.005071049837160659
2010-07-27,2778.0,-17.72400000000016,2795.724,-0.006339681599471249
2010-07-28,2887.4,23.67599999999993,2863.724,0.008267556510334072
2010-07-29,2876.8,-1.1759999999999309,2877.976,-0.0004086205027421809
2010-07-30,2871.4,2.5540000000000873,2868.846,0.0008902534329134737
2010-08-02,2926.4,9.125,2917.275,0.003127919034030045
2010-08-03,2856.8,-9.170999999999822,2865.971,-0.003199962595574003
2010-08-04,2873.8,-2.6340000000000146,2876.434,-0.0009157171692449798
2010-08-05,2846.4,-4.429000000000087,2850.829,-0.0015535831858031776
