,日期,收盘价,基差,指数,贴水率
0,2010-01-04,,,,
1,2010-01-05,,,,
2,2010-01-06,,,,
3,2010-01-07,,,,
4,2010-01-08,,,,
5,2010-01-11,,,,
6,2010-01-12,,,,
7,2010-01-13,,,,
8,2010-01-14,,,,
9,2010-01-15,,,,
10,2010-01-18,,,,
11,2010-01-19,,,,
12,2010-01-20,,,,
13,2010-01-21,,,,
14,2010-01-22,,,,
15,2010-01-25,,,,
16,2010-01-26,,,,
17,2010-01-27,,,,
18,2010-01-28,,,,
19,2010-01-29,,,,
20,2010-02-01,,,,
21,2010-02-02,,,,
22,2010-02-03,,,,
23,2010-02-04,,,,
24,2010-02-05,,,,
25,2010-02-08,,,,
26,2010-02-09,,,,
27,2010-02-10,,,,
28,2010-02-11,,,,
29,2010-02-12,,,,
30,2010-02-22,,,,
31,2010-02-23,,,,
32,2010-02-24,,,,
33,2010-02-25,,,,
34,2010-02-26,,,,
35,2010-03-01,,,,
36,2010-03-02,,,,
37,2010-03-03,,,,
38,2010-03-04,,,,
39,2010-03-05,,,,
40,2010-03-08,,,,
41,2010-03-09,,,,
42,2010-03-10,,,,
43,2010-03-11,,,,
44,2010-03-12,,,,
45,2010-03-15,,,,
46,2010-03-16,,,,
47,2010-03-17,,,,
48,2010-03-18,,,,
49,2010-03-19,,,,
50,2010-03-22,,,,
51,2010-03-23,,,,
52,2010-03-24,,,,
53,2010-03-25,,,,
54,2010-03-26,,,,
55,2010-03-29,,,,
56,2010-03-30,,,,
57,2010-03-31,,,,
58,2010-04-01,,,,
59,2010-04-02,,,,
60,2010-04-06,,,,
61,2010-04-07,,,,
62,2010-04-08,,,,
63,2010-04-09,,,,
64,2010-04-12,,,,
65,2010-04-13,,,,
66,2010-04-14,,,,
67,2010-04-15,,,,
68,2010-04-16,3441.6,85.26800000000003,3356.332,0.025405114869446774
69,2010-04-19,3218.0,41.577000000000226,3176.423,0.013089251651936857
70,2010-04-20,3241.4,68.0260000000003,3173.374,0.02143648999456109
71,2010-04-21,3292.8,56.121000000000095,3236.679,0.01733906884185923
72,2010-04-22,3266.8,65.25900000000001,3201.541,0.020383621512265502
73,2010-04-23,3255.8,65.79700000000003,3190.003,0.020625999411285827
74,2010-04-26,3255.0,83.00300000000016,3171.997,0.02616742701837365
75,2010-04-27,3180.4,71.99099999999999,3108.409,0.023160079642029083
76,2010-04-28,3172.0,74.64699999999993,3097.353,0.024100255928207064
77,2010-04-29,3131.0,70.93600000000015,3060.064,0.023181214510546236
78,2010-04-30,3149.4,82.03500000000031,3067.365,0.02674445330112338
79,2010-05-04,3116.8,97.35100000000011,3019.449,0.03224131290179106
80,2010-05-05,3115.0,78.60600000000022,3036.394,0.025887944713367313
81,2010-05-06,3018.8,121.94399999999996,2896.856,0.04209529227548762
82,2010-05-07,2943.0,106.21099999999979,2836.789,0.03744057101180235
83,2010-05-10,2961.6,103.36699999999973,2858.233,0.03616465137726691
84,2010-05-11,2834.0,33.18299999999999,2800.817,0.011847614463922488
85,2010-05-12,2870.0,51.840000000000146,2818.16,0.01839498112243455
86,2010-05-13,2927.2,40.28899999999976,2886.911,0.013955747163663778
87,2010-05-14,2883.0,14.976999999999862,2868.023,0.005222064118732612
88,2010-05-17,2722.4,7.684999999999945,2714.715,0.002830868065340172
89,2010-05-18,2810.4,39.052000000000135,2771.348,0.014091337500739761
90,2010-05-19,2784.8,22.626000000000204,2762.174,0.008191373896068894
91,2010-05-20,2763.2,37.177999999999884,2726.022,0.013638187806261243
92,2010-05-21,2801.0,32.20899999999983,2768.791,0.011632875142977506
93,2010-05-24,2931.4,57.93100000000004,2873.469,0.02016064902736032
94,2010-05-25,2837.0,23.05699999999979,2813.943,0.008193840458033367
95,2010-05-26,2858.4,44.45600000000013,2813.944,0.01579846649400277
96,2010-05-27,2919.6,59.621000000000095,2859.979,0.020846656566359437
97,2010-05-28,2880.8,30.498000000000047,2850.302,0.010699918815620256
98,2010-05-31,2809.8,36.53600000000006,2773.264,0.013174367820734001
99,2010-06-01,2781.0,36.83800000000019,2744.162,0.013424134580975976
100,2010-06-02,2789.4,31.873000000000047,2757.527,0.011558545029658838
101,2010-06-03,2767.0,30.923999999999978,2736.076,0.011302317625679981
102,2010-06-04,2777.0,32.608999999999924,2744.391,0.011882053249700908
103,2010-06-07,2717.8,22.085000000000036,2695.715,0.008192631639472286
104,2010-06-08,2735.4,36.064000000000306,2699.336,0.013360322686764563
105,2010-06-09,2805.8,23.66700000000037,2782.133,0.00850678238603272
106,2010-06-10,2786.0,35.97699999999986,2750.023,0.013082436037807633
107,2010-06-11,2791.0,32.134000000000015,2758.866,0.01164753924257286
108,2010-06-17,2762.6,19.866999999999734,2742.733,0.007243504927384376
109,2010-06-18,2718.2,22.03399999999965,2696.166,0.00817234547130987
110,2010-06-21,2820.6,39.9369999999999,2780.663,0.014362402060228046
111,2010-06-22,2816.2,32.48000000000002,2783.72,0.01166784015633757
112,2010-06-23,2783.6,25.105000000000018,2758.495,0.009100977163272008
113,2010-06-24,2789.6,32.10199999999986,2757.498,0.01164171288610177
114,2010-06-25,2770.4,34.113000000000284,2736.287,0.012466894006367127
115,2010-06-28,2756.8,40.02300000000014,2716.777,0.014731794328353096
116,2010-06-29,2617.8,25.781000000000404,2592.019,0.009946300547951387
117,2010-06-30,2593.4,30.329999999999927,2563.07,0.011833465336490975
118,2010-07-01,2562.6,36.528999999999996,2526.071,0.014460797024311666
119,2010-07-02,2562.0,27.894999999999982,2534.105,0.011007831167216821
120,2010-07-05,2543.8,31.149000000000342,2512.651,0.012396866894765865
121,2010-07-06,2578.2,15.297999999999774,2562.902,0.00596901481211524
122,2010-07-07,2583.2,2.7229999999999563,2580.477,0.001055231261507061
123,2010-07-08,2583.2,7.278999999999996,2575.921,0.0028257854181087064
124,2010-07-09,2664.2,17.096000000000004,2647.104,0.0064583786658929925
125,2010-07-12,2674.6,-1.6179999999999382,2676.218,-0.0006045845293619347
126,2010-07-13,2638.0,3.407000000000153,2634.593,0.0012931788705125053
127,2010-07-14,2654.6,0.9909999999999854,2653.609,0.00037345366254033113
128,2010-07-15,2610.8,2.281000000000404,2608.519,0.0008744425476680077
129,2010-07-16,2620.6,4.471999999999753,2616.128,0.0017093964821292202
130,2010-07-19,2710.4,27.927999999999884,2682.472,0.010411292270711449
131,2010-07-20,2759.8,18.297000000000025,2741.503,0.006674076227529214
132,2010-07-21,2758.6,11.264999999999873,2747.335,0.00410033723590311
133,2010-07-22,2797.8,16.514000000000124,2781.286,0.00593754112306326
134,2010-07-23,2797.0,3.923999999999978,2793.076,0.001404902695093144
135,2010-07-26,2810.0,-1.0549999999998363,2811.055,-0.00037530393393221987
136,2010-07-27,2789.6,-6.124000000000251,2795.724,-0.0021904880453150065
137,2010-07-28,2898.8,35.07600000000002,2863.724,0.012248387065233948
138,2010-07-29,2890.4,12.423999999999978,2877.976,0.004316922726249273
139,2010-07-30,2884.2,15.353999999999814,2868.846,0.005351977763881301
140,2010-08-02,2940.0,22.72499999999991,2917.275,0.0077898038409131495
141,2010-08-03,2871.8,5.829000000000178,2865.971,0.0020338656601899246
142,2010-08-04,2889.2,12.765999999999622,2876.434,0.004438134161951785
143,2010-08-05,2860.2,9.37099999999964,2850.829,0.0032871140289367196
144,2010-08-06,2932.0,34.340999999999894,2897.659,0.01185129099041671
145,2010-08-09,2924.0,5.7590000000000146,2918.241,0.001973449074288249
146,2010-08-10,2848.2,15.561999999999898,2832.638,0.005493818836010778
147,2010-08-11,2850.2,-0.010999999999967258,2850.211,-3.859363394488078e-06
148,2010-08-12,2838.8,22.414000000000215,2816.386,0.007958426153233333
149,2010-08-13,2868.0,12.452999999999975,2855.547,0.0043609858286345745
150,2010-08-16,2943.4,21.317000000000007,2922.083,0.007295138433781658
151,2010-08-17,2963.0,20.708999999999833,2942.291,0.007038392871405253
152,2010-08-18,2962.2,24.837999999999738,2937.362,0.008455886608460155
153,2010-08-19,2981.6,26.204999999999927,2955.395,0.008866835059272932
154,2010-08-20,2921.8,23.4670000000001,2898.333,0.008096723185362103
155,2010-08-23,2918.0,21.807999999999993,2896.192,0.007529887521269305
156,2010-08-24,2925.4,13.572999999999865,2911.827,0.00466133461912396
157,2010-08-25,2867.6,24.57699999999977,2843.023,0.00864467153448979
158,2010-08-26,2878.0,27.907000000000153,2850.093,0.009791610308856643
159,2010-08-27,2885.2,26.634000000000015,2858.566,0.009317259073255616
160,2010-08-30,2941.2,26.1899999999996,2915.01,0.008984531785482587
161,2010-08-31,2920.2,17.011999999999716,2903.188,0.005859765196053344
162,2010-09-01,2900.6,16.557999999999993,2884.042,0.005741247873644001
163,2010-09-02,2941.0,19.60699999999997,2921.393,0.006711524262569251
164,2010-09-03,2942.2,21.99499999999989,2920.205,0.007532005458520855
165,2010-09-06,3004.2,29.109999999999673,2975.09,0.009784577945541034
166,2010-09-07,3008.8,25.692000000000007,2983.108,0.008612494083351995
167,2010-09-08,3007.4,26.432999999999993,2980.967,0.00886725683310147
168,2010-09-09,2956.8,30.340000000000146,2926.46,0.010367474696390912
169,2010-09-10,2950.4,17.846000000000004,2932.554,0.006085480437870881
170,2010-09-13,2980.0,17.68100000000004,2962.319,0.005968634708145896
171,2010-09-14,2979.6,14.590999999999894,2965.009,0.004921064320546715
172,2010-09-15,2929.6,16.40599999999995,2913.194,0.005631619452738111
173,2010-09-16,2877.8,20.010999999999967,2857.789,0.00700226643744516
174,2010-09-17,2878.8,17.43100000000004,2861.369,0.006091839255964553
175,2010-09-20,2881.0,31.172000000000025,2849.828,0.010938203989854836
176,2010-09-21,2880.2,22.723999999999705,2857.476,0.007952472741678217
177,2010-09-27,2914.4,9.371000000000095,2905.029,0.003225785353605797
178,2010-09-28,2904.0,23.092999999999847,2880.907,0.008015878332761121
179,2010-09-29,2905.8,30.988000000000284,2874.812,0.010779139644609904
180,2010-09-30,2964.8,29.226000000000113,2935.574,0.009955804214099223
181,2010-10-08,3068.0,23.766999999999825,3044.233,0.00780722106356505
182,2010-10-11,3154.4,21.50500000000011,3132.895,0.006864258138239586
183,2010-10-12,3172.0,-0.7260000000001128,3172.726,-0.00022882530669213566
184,2010-10-13,3230.0,12.422999999999774,3217.577,0.0038609798615541363
185,2010-10-14,3250.0,25.860000000000127,3224.14,0.008020743516100458
186,2010-10-15,3392.0,64.31700000000001,3327.683,0.01932786265999496
187,2010-10-18,3349.6,43.440000000000055,3306.16,0.013139110024923191
188,2010-10-19,3439.6,63.92599999999993,3375.674,0.018937255197036186
189,2010-10-20,3481.2,84.32099999999991,3396.879,0.024823080245130875
190,2010-10-21,3472.8,98.11500000000024,3374.685,0.029073824668080204
191,2010-10-22,3485.0,106.3449999999998,3378.655,0.0314755427825569
192,2010-10-25,3631.6,150.51899999999978,3481.081,0.04323915473383118
193,2010-10-26,3591.6,125.51600000000008,3466.084,0.03621262496811967
194,2010-10-27,3527.6,123.72800000000007,3403.872,0.03634919291912271
195,2010-10-28,3569.6,171.9079999999999,3397.692,0.0505955219013377
196,2010-10-29,3469.8,89.81700000000001,3379.983,0.026573210575319462
197,2010-11-01,3600.2,127.20499999999993,3472.995,0.03662688831973554
198,2010-11-02,3552.0,88.86900000000014,3463.131,0.02566146068398803
199,2010-11-03,3533.0,112.6590000000001,3420.341,0.032937943906762544
200,2010-11-04,3605.0,124.49499999999989,3480.505,0.03576923463692765
201,2010-11-05,3686.4,165.60200000000032,3520.798,0.04703535959745499
202,2010-11-08,3651.0,102.4340000000002,3548.566,0.028866308249585946
203,2010-11-09,3621.4,97.44599999999991,3523.954,0.027652460843699978
204,2010-11-10,3577.0,77.88900000000012,3499.111,0.022259653952103872
205,2010-11-11,3573.4,63.42500000000018,3509.975,0.018069929273000572
206,2010-11-12,3342.4,50.56700000000001,3291.833,0.015361350347967229
207,2010-11-15,3352.8,37.90700000000015,3314.893,0.011435361563706626
208,2010-11-16,3211.2,41.66199999999981,3169.538,0.013144502447990782
209,2010-11-17,3156.0,52.09400000000005,3103.906,0.016783369083986453
210,2010-11-18,3190.4,42.4380000000001,3147.962,0.013481103012044015
211,2010-11-19,3244.0,65.154,3178.846,0.020496117144397683
212,2010-11-22,3226.6,54.659000000000106,3171.941,0.017232035526512035
213,2010-11-23,3146.8,39.62400000000025,3107.176,0.012752415698370562
214,2010-11-24,3241.4,64.35699999999997,3177.043,0.0202568866710334
215,2010-11-25,3263.0,39.516000000000076,3223.484,0.012258785835450115
216,2010-11-26,3244.8,49.947000000000116,3194.853,0.015633583141384005
217,2010-11-29,3241.8,51.75,3190.05,0.01622231626463535
218,2010-11-30,3177.8,40.815000000000055,3136.985,0.013010900594041749
219,2010-12-01,3172.0,35.97600000000011,3136.024,0.011471850980732327
220,2010-12-02,3196.2,41.14099999999962,3155.059,0.013039692760103572
221,2010-12-03,3203.4,45.24400000000014,3158.156,0.014326081422197049
222,2010-12-06,3199.0,33.429999999999836,3165.57,0.010560499372940683
223,2010-12-07,3254.6,54.26099999999997,3200.339,0.016954766354439318
224,2010-12-08,3190.0,18.117999999999938,3171.882,0.005712066211794744
225,2010-12-09,3173.0,49.634000000000015,3123.366,0.01589118918500106
226,2010-12-10,3204.0,42.02300000000014,3161.977,0.013290102995689133
227,2010-12-13,3321.8,60.73900000000003,3261.061,0.018625533223696224
228,2010-12-14,3319.8,50.32600000000002,3269.474,0.015392690077975852
229,2010-12-15,3283.0,35.35600000000022,3247.644,0.010886661222720294
230,2010-12-16,3264.2,33.534999999999854,3230.665,0.010380215837915678
231,2010-12-17,3281.0,55.33899999999994,3225.661,0.017155863557887806
232,2010-12-20,3241.6,62.942999999999756,3178.657,0.019801759044778898
233,2010-12-21,3339.2,89.6909999999998,3249.509,0.02760140070392167
234,2010-12-22,3279.8,64.34700000000021,3215.453,0.020011799270584957
235,2010-12-23,3256.0,67.39300000000003,3188.607,0.021135561704531174
236,2010-12-24,3233.6,70.64499999999998,3162.955,0.022335126487730613
237,2010-12-27,3156.0,56.29100000000017,3099.709,0.018160091802166
238,2010-12-28,3111.2,66.26899999999978,3044.931,0.02176371155865265
239,2010-12-29,3131.8,69.97000000000025,3061.83,0.022852346472534483
240,2010-12-30,3135.4,71.30200000000013,3064.098,0.023270143448414552
241,2010-12-31,3188.4,60.139000000000124,3128.261,0.019224418934353664
242,2011-01-04,3224.2,34.51800000000003,3189.682,0.010821768439612486
243,2011-01-05,3212.2,36.53800000000001,3175.662,0.01150563252638348
244,2011-01-06,3197.0,37.35699999999997,3159.643,0.011823171162058489
245,2011-01-07,3191.2,24.576000000000022,3166.624,0.007760946673807823
246,2011-01-10,3147.2,39.01299999999992,3108.187,0.012551690101013846
247,2011-01-11,3164.6,39.677999999999884,3124.922,0.012697276924031987
248,2011-01-12,3178.0,35.66300000000001,3142.337,0.011349196473834604
249,2011-01-13,3170.2,28.915999999999713,3141.284,0.009205153052063968
250,2011-01-14,3119.0,27.13799999999992,3091.862,0.008777235206487197
251,2011-01-17,2992.0,17.65000000000009,2974.35,0.005934069628658393
252,2011-01-18,2995.0,17.35199999999986,2977.648,0.0058274181501641095
253,2011-01-19,3068.0,23.148999999999887,3044.851,0.007602670869609017
254,2011-01-20,2957.2,12.486999999999625,2944.713,0.004240481160642693
255,2011-01-21,2990.8,7.344000000000051,2983.456,0.002461574764300211
256,2011-01-24,2996.0,41.76800000000003,2954.232,0.014138361509861117
257,2011-01-25,2985.6,46.94599999999991,2938.654,0.01597534109153371
258,2011-01-26,3012.8,34.36900000000014,2978.431,0.01153929703256518
259,2011-01-27,3053.0,26.534000000000106,3026.466,0.008767321357649517
260,2011-01-28,3071.6,34.86499999999978,3036.735,0.01148108083188022
261,2011-01-31,3106.8,30.29200000000037,3076.508,0.009846228256191882
262,2011-02-01,3110.0,32.7170000000001,3077.283,0.010631781347376922
263,2011-02-09,3062.0,21.05099999999993,3040.949,0.006922510045383836
264,2011-02-10,3123.4,19.23700000000008,3104.163,0.006197161682553422
265,2011-02-11,3137.4,16.44399999999996,3120.956,0.005268898376010415
266,2011-02-14,3251.2,32.05699999999979,3219.143,0.009958240438526585
267,2011-02-15,3242.0,24.32900000000018,3217.671,0.007561058914973029
268,2011-02-16,3272.6,24.072999999999865,3248.527,0.007410435560486296
269,2011-02-17,3262.0,16.092999999999847,3245.907,0.00495793625633755
270,2011-02-18,3231.4,19.523999999999887,3211.876,0.0060786904600301775
271,2011-02-21,3307.4,49.49200000000019,3257.908,0.015191343647518651
272,2011-02-22,3203.2,39.621999999999844,3163.578,0.012524426456373083
273,2011-02-23,3199.0,24.25799999999981,3174.742,0.0076409358618747
