日期,量道CTA精选1号
2018-08-14,1.0
2018-08-15,0.998
2018-08-16,1.012
2018-08-17,1.021
2018-08-20,1.03
2018-08-21,1.032
2018-08-22,1.025
2018-08-23,1.02
2018-08-24,1.003
2018-08-27,0.998
2018-08-28,1.004
2018-08-29,1.009
2018-08-30,0.999
2018-08-31,0.995
2018-09-03,1.003
2018-09-04,1.006
2018-09-05,1.005
2018-09-06,1.004
2018-09-07,1.021
2018-09-10,1.029
2018-09-11,1.014
2018-09-12,0.987
2018-09-13,0.982
2018-09-14,0.977
2018-09-17,0.973
2018-09-18,0.98
2018-09-19,1.005
2018-09-20,1.005
2018-09-21,1.0
2018-09-25,0.998
2018-09-26,0.976
2018-09-27,0.982
2018-09-28,0.981
2018-09-30,0.981
2018-10-08,1.008
2018-10-09,1.022
2018-10-10,1.049
2018-10-11,1.052
2018-10-12,1.052
2018-10-15,1.051
2018-10-16,1.041
2018-10-17,1.037
2018-10-18,1.032
2018-10-19,1.024
2018-10-22,1.01
2018-10-23,1.008
2018-10-24,1.019
2018-10-25,1.03
2018-10-26,1.033
2018-10-29,1.039
2018-10-30,1.039
2018-10-31,1.039
2018-11-01,1.036
2018-11-02,1.01
2018-11-05,1.015
2018-11-06,1.02
2018-11-07,1.002
2018-11-08,0.996
2018-11-09,1.006
2018-11-12,1.002
2018-11-13,1.005
2018-11-14,1.011
2018-11-15,1.017
2018-11-16,1.03
2018-11-19,1.035
2018-11-20,1.034
2018-11-21,1.011
2018-11-22,1.015
2018-11-23,0.993
2018-11-26,0.923
2018-11-27,0.939
2018-11-28,0.952
2018-11-29,0.941
2018-11-30,0.934
2018-12-03,0.964
2018-12-04,1.0
2018-12-05,1.025
2018-12-06,1.032
2018-12-07,1.047
2018-12-10,1.048
2018-12-11,1.037
2018-12-12,1.046
2018-12-13,1.05
2018-12-14,1.061
2018-12-17,1.063
2018-12-18,1.049
2018-12-19,1.045
2018-12-20,1.042
2018-12-21,1.052
2018-12-24,1.046
2018-12-25,1.026
2018-12-26,1.029
2018-12-27,1.027
2018-12-28,1.012
2018-12-31,1.012
2019-01-02,0.985
2019-01-03,0.99
2019-01-04,0.999
2019-01-07,1.016
2019-01-08,1.024
2019-01-09,1.023
2019-01-10,1.023
2019-01-11,1.036
2019-01-14,1.073
2019-01-15,1.069
2019-01-16,1.072
2019-01-17,1.08
2019-01-18,1.109
2019-01-21,1.13
2019-01-22,1.14
2019-01-23,1.123
2019-01-24,1.131
2019-01-25,1.166
2019-01-28,1.156
2019-01-29,1.136
2019-01-30,1.179
2019-01-31,1.2
2019-02-01,1.232
2019-02-11,1.276
2019-02-12,1.238
2019-02-13,1.204
2019-02-14,1.175
2019-02-15,1.167
2019-02-18,1.176
2019-02-19,1.169
2019-02-20,1.161
2019-02-21,1.182
2019-02-22,1.184
2019-02-25,1.195
2019-02-26,1.172
2019-02-27,1.208
2019-02-28,1.21
2019-03-01,1.222
2019-03-04,1.254
2019-03-05,1.224
2019-03-06,1.221
2019-03-07,1.208
2019-03-08,1.185
2019-03-11,1.148
2019-03-12,1.175
2019-03-13,1.194
2019-03-14,1.191
2019-03-15,1.169
2019-03-18,1.164
2019-03-19,1.161
2019-03-20,1.125
2019-03-21,1.123
2019-03-22,1.129
2019-03-25,1.141
2019-03-26,1.153
2019-03-27,1.133
2019-03-28,1.163
2019-03-29,1.196
2019-03-31,1.196
2019-04-01,1.19
2019-04-02,1.189
2019-04-03,1.197
2019-04-04,1.204
2019-04-08,1.25
2019-04-09,1.251
2019-04-10,1.21
2019-04-11,1.208
2019-04-12,1.213
2019-04-15,1.224
2019-04-16,1.231
2019-04-17,1.22
2019-04-18,1.188
2019-04-19,1.176
2019-04-22,1.208
2019-04-23,1.207
2019-04-24,1.218
2019-04-25,1.2
2019-04-26,1.211
2019-04-29,1.227
2019-04-30,1.255
2019-05-06,1.212
2019-05-07,1.208
2019-05-08,1.204
2019-05-09,1.213
2019-05-10,1.191
2019-05-13,1.185
2019-05-14,1.208
2019-05-15,1.2
2019-05-16,1.204
2019-05-17,1.239
2019-05-20,1.256
2019-05-21,1.273
2019-05-22,1.347
2019-05-23,1.396
2019-05-24,1.372
2019-05-27,1.424
2019-05-28,1.408
2019-05-29,1.352
2019-05-30,1.355
2019-05-31,1.34
2019-06-03,1.345
2019-06-04,1.341
2019-06-05,1.329
2019-06-06,1.323
2019-06-10,1.313
2019-06-11,1.349
2019-06-12,1.369
2019-06-13,1.346
2019-06-14,1.35
2019-06-17,1.326
2019-06-18,1.316
2019-06-19,1.337
2019-06-20,1.352
2019-06-21,1.37
2019-06-24,1.41
2019-06-25,1.424
2019-06-26,1.431
2019-06-27,1.45
2019-06-28,1.482
2019-06-30,1.482
2019-07-01,1.522
2019-07-02,1.565
2019-07-03,1.577
2019-07-04,1.549
2019-07-05,1.526
2019-07-08,1.545
2019-07-09,1.609
2019-07-10,1.596
2019-07-11,1.59
2019-07-12,1.602
2019-07-15,1.576
2019-07-16,1.615
2019-07-17,1.613
2019-07-18,1.609
2019-07-19,1.564
2019-07-22,1.567
2019-07-23,1.553
2019-07-24,1.532
2019-07-25,1.507
2019-07-26,1.516
2019-07-29,1.514
2019-07-30,1.502
2019-07-31,1.489
2019-08-01,1.466
2019-08-02,1.443
2019-08-05,1.468
2019-08-06,1.497
2019-08-07,1.506
2019-08-08,1.463
2019-08-09,1.508
2019-08-12,1.494
2019-08-13,1.488
2019-08-14,1.465
2019-08-15,1.469
2019-08-16,1.468
2019-08-19,1.46
2019-08-20,1.464
2019-08-21,1.471
2019-08-22,1.478
2019-08-23,1.48
2019-08-26,1.508
2019-08-27,1.524
2019-08-28,1.536
2019-08-29,1.535
2019-08-30,1.542
2019-09-02,1.586
2019-09-03,1.624
2019-09-04,1.607
2019-09-05,1.614
2019-09-06,1.61
2019-09-09,1.61
2019-09-10,1.617
2019-09-11,1.608
2019-09-12,1.636
2019-09-16,1.638
2019-09-17,1.596
2019-09-18,1.597
2019-09-19,1.551
2019-09-20,1.526
2019-09-23,1.513
2019-09-24,1.514
2019-09-25,1.497
2019-09-26,1.503
2019-09-27,1.503
2019-09-30,1.502
2019-10-08,1.502
2019-10-09,1.475
2019-10-10,1.459
2019-10-11,1.461
2019-10-14,1.444
2019-10-15,1.45
2019-10-16,1.438
2019-10-17,1.443
2019-10-18,1.436
2019-10-21,1.483
2019-10-22,1.493
2019-10-23,1.471
2019-10-24,1.474
2019-10-25,1.47
2019-10-28,1.499
2019-10-29,1.481
2019-10-30,1.474
2019-10-31,1.454
2019-11-01,1.463
2019-11-04,1.452
2019-11-05,1.445
2019-11-06,1.458
2019-11-07,1.456
2019-11-08,1.466
2019-11-11,1.494
2019-11-12,1.54
2019-11-13,1.529
2019-11-14,1.55
2019-11-15,1.594
2019-11-18,1.574
2019-11-19,1.596
2019-11-20,1.631
2019-11-21,1.604
2019-11-22,1.587
2019-11-25,1.612
2019-11-26,1.578
2019-11-27,1.571
2019-11-28,1.581
2019-11-29,1.607
2019-12-02,1.623
2019-12-03,1.65
2019-12-04,1.647
2019-12-05,1.64
2019-12-06,1.593
2019-12-09,1.659
2019-12-10,1.691
2019-12-11,1.687
2019-12-12,1.676
2019-12-13,1.68
2019-12-16,1.682
2019-12-17,1.688
2019-12-18,1.685
2019-12-19,1.699
2019-12-20,1.691
2019-12-23,1.67
2019-12-24,1.656
2019-12-25,1.654
2019-12-26,1.652
2019-12-27,1.679
2019-12-30,1.696
2019-12-31,1.680736
