Date,Open,High,Low,Close,Adj Close,Volume,
2004/1/1,30.51,33.220001,30.290001,32.650002,17.104326,24590400,
2004/2/1,32.419998,34.529999,32.349998,34.5,18.073483,24876700,0.056661514
2004/3/1,34.5,35.099998,32.599998,32.919998,17.429794,26935600,-0.035615105
2004/4/1,33.580002,33.580002,29.92,30.440001,16.116737,31380900,-0.075334052
2004/5/1,30.42,31.870001,28.5,31.77,16.820915,26287000,0.043692343
2004/6/1,31.780001,32.799999,30.870001,32,17.136612,21841500,0.018768123
2004/7/1,31.879999,32.16,30.27,31.110001,16.659998,20356000,-0.027812615
2004/8/1,31.129999,32.73,31.030001,32.73,17.527536,21641300,0.052073115
2004/9/1,32.669998,33.209999,31.67,31.959999,17.304514,20757800,-0.012724093
2004/10/1,31.969999,33.299999,31.25,32.93,17.829712,25401700,0.030350347
2004/11/1,33.009998,35.529999,32.349998,34.169998,18.501106,27170700,0.037655908
2004/12/1,34.169998,35.259998,33.599998,34.34,18.784498,30043100,0.015317571
2005/1/1,34.209999,35.5,33.200001,35.25,19.28228,32559900,0.026499617
2005/2/1,35.330002,35.869999,32.25,33.400002,18.2703,29670700,-0.052482383
2005/3/1,33.400002,34.779999,32.41,34.060001,18.817804,38080200,0.029966886
2005/4/1,34.380001,35.549999,33.790001,35.220001,19.458685,33869700,0.034057162
2005/5/1,35.23,35.849998,34.09,35.689999,19.718359,30253200,0.013344889
2005/6/1,35.709999,37,35.330002,36.869999,20.573009,25822000,0.043342856
2005/7/1,36.970001,39.34,36.34,38.700001,21.594133,29758200,0.049634159
2005/8/1,38.66,39.169998,36.369999,37.18,20.745991,37105400,-0.039276502
2005/9/1,37.27,39.84,37.080002,39.700001,22.357119,47037700,0.077659727
2005/10/1,39.759998,40.799999,35.599998,37.959999,21.377239,37899800,-0.043828545
2005/11/1,37.959999,37.959999,35.57,36.540001,20.577568,35831500,-0.03740759
2005/12/1,36.66,37.959999,36.16,37.09,21.098286,28765000,0.025305128
2006/1/1,37.27,38.48,36.650002,37.32,21.229111,27627300,0.006200741
2006/2/1,37.32,37.349998,35.48,36.5,20.762671,27047800,-0.021971716
2006/3/1,36.650002,36.650002,33.959999,34.02,19.552847,36951500,-0.058269189
2006/4/1,34.02,34.700001,32.560001,33.459999,19.230988,39836600,-0.016460979
2006/5/1,33.490002,34.459999,32.27,34.27,19.696531,57503700,0.024207961
2006/6/1,34.400002,35.189999,33.509998,34.25,19.902195,41928100,0.010441636
2006/7/1,34.25,36.48,34.099998,36.119999,20.988831,34268600,0.054598802
2006/8/1,36.119999,37.299999,35.84,36.48,21.198019,33204700,0.009966634
2006/9/1,36.650002,37.02,35.639999,36.369999,21.350168,32784800,0.00717751
2006/10/1,36.549999,41.849998,36.490002,41.43,24.320526,59014300,0.139125744
2006/11/1,41.650002,41.98,40.68,41.509998,24.367481,37105200,0.001930674
2006/12/1,41.610001,43.130001,41.540001,42.580002,25.233902,25379600,0.035556445
2007/1/1,42.490002,43.900002,41.689999,43.529999,25.796881,39113000,0.022310422
2007/2/1,43.630001,46.759998,43.48,44.900002,26.60877,40654200,0.031472371
2007/3/1,44.25,49.470001,44.029999,48.75,29.142664,50460500,0.095227776
2007/4/1,48.740002,51.240002,48.080002,50.220001,30.021429,52097400,0.030153901
2007/5/1,50,51,46.740002,47.630001,28.473129,54081200,-0.051573161
2007/6/1,47.630001,47.990002,43.389999,45.040001,27.134262,54709000,-0.047022124
2007/7/1,45.459999,47.560001,42.75,43.490002,26.200474,56485000,-0.034413613
2007/8/1,43.5,48.830002,42.459999,44.48,26.796892,67867300,0.022763634
2007/9/1,44.110001,46.970001,44.060001,46.080002,27.98945,33499400,0.044503594
2007/10/1,46.630001,48.700001,45.049999,48.209999,29.283253,43818200,0.046224667
2007/11/1,47.889999,48.23,45.360001,47.669998,28.955236,43321400,-0.011201522
2007/12/1,47.450001,49.490002,46.32,46.560001,28.525753,33300700,-0.014832654
2008/1/1,46.310001,49.110001,40.68,42.73,26.179224,77637700,-0.08226002
2008/2/1,42.82,45.080002,40.75,40.919998,25.070314,72581100,-0.042358398
2008/3/1,41.060001,42.5,39.349998,41.630001,25.748495,53739900,0.027051157
2008/4/1,41.619999,45.950001,41.619999,44.630001,27.604013,68726500,0.072063163
2008/5/1,44.66,45.43,42.009998,42.330002,26.181452,59367500,-0.051534572
2008/6/1,42.34,43.740002,39.459999,40.23,25.114914,49995200,-0.040736396
2008/7/1,39.919998,41.27,38.189999,39.5,24.659189,58479600,-0.018145593
2008/8/1,39.68,40.099998,37.709999,39.040001,24.372011,43816400,-0.011645882
2008/9/1,39.549999,41.599998,34.860001,37.029999,23.356676,62050900,-0.041659878
2008/10/1,36.75,37.279999,25.540001,32.630001,20.581377,92801000,-0.118822516
2008/11/1,32.610001,33.380001,27.24,31.290001,19.736166,70924600,-0.041066786
2008/12/1,30.530001,33.369999,28,33.279999,21.26589,78026700,0.077508671
2009/1/1,33.490002,34.34,30.879999,31.35,20.032621,64246200,-0.057992823
2009/2/1,31.040001,33.889999,27.700001,28.049999,17.923918,56477800,-0.10526346
2009/3/1,27.629999,28.5,24,25.26,16.340324,112338000,-0.088350884
2009/4/1,25.030001,27.41,24.75,26.379999,17.06484,186407500,0.044339145
2009/5/1,26.49,27.190001,24.75,26.34,17.038963,96857000,-0.001516393
2009/6/1,26.58,29.16,26,28.889999,18.979864,109363200,0.113909573
2009/7/1,29.1,32.360001,28.07,30.959999,20.339788,92745500,0.071650882
2009/8/1,31.299999,31.879999,30.27,31.43,20.648567,62000200,0.015181033
2009/9/1,31.389999,32.130001,30.469999,30.99,20.634085,76545400,-0.000701356
2009/10/1,31.24,31.870001,29.59,30.219999,20.121395,97278100,-0.024846752
2009/11/1,30.23,32.310001,30.23,32.189999,21.433081,87223500,0.065188621
2009/12/1,32.27,36.509998,32.25,34.790001,23.471405,87182000,0.095101773
2010/1/1,35.099998,36.860001,34.360001,34.650002,23.376947,73160500,-0.004024386
2010/2/1,34.810001,35.110001,32.68,33.619999,22.682047,64824600,-0.029725866
2010/3/1,33.720001,34.970001,33.68,34.18,23.344383,57714100,0.029200892
2010/4/1,34.299999,35,33.220001,34.299999,23.426338,75971000,0.003510695
2010/5/1,34.400002,34.73,28.26,31.959999,21.828154,97845300,-0.068221674
2010/6/1,31.66,34.389999,31,32.299999,22.341566,88476300,0.023520633
2010/7/1,32.419998,36.82,31.870001,35.98,24.886982,86269000,0.113931852
2010/8/1,36.200001,36.470001,34.5,35.41,24.492714,76753700,-0.015842339
2010/9/1,35.740002,36.93,35.57,36.23,25.352356,60082600,0.035097866
2010/10/1,36.400002,37.549999,35.68,37.439999,26.199053,65861700,0.033397172
2010/11/1,37.580002,37.939999,35.360001,35.599998,24.911507,56104000,-0.049144753
2010/12/1,35.950001,36.470001,34.919998,35.98,25.488411,54196500,0.023158133
2011/1/1,36.27,36.919998,35.189999,35.68,25.275888,64772600,-0.008338025
2011/2/1,35.939999,36.07,34.959999,35.779999,25.346727,50515000,0.002802632
2011/3/1,35.880001,36.369999,33.470001,35.139999,25.215185,90494800,-0.005189704
2011/4/1,35.220001,36.560001,34.369999,36.48,26.176722,57228400,0.038133252
2011/5/1,36.599998,38.990002,36.07,38.200001,27.410927,93097500,0.047148952
2011/6/1,38.220001,38.34,36.84,37.68,27.381369,69106400,-0.001078329
2011/7/1,37.779999,38.98,36.66,36.860001,26.785482,78555400,-0.021762498
2011/8/1,37.740002,38.810001,33.09,38.630001,28.07172,123927800,0.048019968
2011/9/1,38.599998,38.900002,36.540001,38.02,27.983641,96652600,-0.003137642
2011/10/1,38,40,35.849998,39.279999,28.911032,73485100,0.033140469
2011/11/1,38.700001,40.080002,37,39.68,29.205442,82895600,0.01018331
2011/12/1,39.5,41.709999,38.43,41.310001,30.768888,68592800,0.053532694
2012/1/1,41.959999,41.98,39.240002,39.560001,29.465435,105684800,-0.042362694
2012/2/1,39.75,40.200001,37.48,37.610001,28.013004,109268500,-0.049292705
2012/3/1,37.759998,39.220001,37.459999,38.580002,29.078201,85074800,0.03802509
2012/4/1,38.619999,38.950001,36.970001,38.84,29.274158,100725000,0.006738966
2012/5/1,38.91,39.07,37.43,38.509998,29.025427,67372400,-0.008496606
2012/6/1,38.18,40.459999,38.18,39.900002,30.444563,61642400,0.048892855
2012/7/1,39.919998,42.709999,39.619999,42.240002,32.230026,60985100,0.058646367
2012/8/1,42.380001,43.959999,41.52,42.990002,32.802296,67090700,0.017755803
2012/9/1,43,44.84,42.830002,43.939999,33.905682,40772000,0.033637462
2012/10/1,44.07,45.41,43.68,44.439999,34.291504,47942500,0.011379273
2012/11/1,44.57,44.639999,40.560001,42.650002,32.910275,53920600,-0.040279044
2012/12/1,42.650002,44.099998,41.919998,42.68,33.294651,46910800,0.011679513
2013/1/1,43.169998,45.34,42.919998,45.290001,35.330719,67739200,0.061153006
2013/2/1,45.48,47.029999,44.23,46.790001,36.500862,52035600,0.033119705
2013/3/1,46.619999,48.68,46.360001,48.630001,38.338013,44097600,0.050331715
2013/4/1,48.549999,51.5,47.939999,51.43,40.545422,66612000,0.057577554
2013/5/1,51.48,51.599998,45.57,45.82,36.122715,64436000,-0.109080305
2013/6/1,45.799999,46.490002,42.830002,44.779999,35.644817,74820400,-0.013229847
2013/7/1,44.98,47.59,43.75,46.349998,36.894531,88733700,0.035060188
2013/8/1,46.48,46.650002,42.259998,42.799999,34.068741,60392800,-0.076591026
2013/9/1,43.029999,45.119999,41.830002,43.349998,34.879772,61348100,0.023805723
2013/10/1,43.52,47.59,43.009998,46.84,37.68787,90024600,0.080507923
2013/11/1,47,48.400002,45.349998,47.060001,37.864883,75269600,0.004696816
2013/12/1,47.209999,47.209999,45.240002,46.740002,38.015564,61250000,0.003979439
