code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600196,2010-04-29,2010-03-31,0.050536,0.330445,0.319051,354650534.540000,2.145666,,1237774909.00,685649142.00
sh.600196,2010-08-26,2010-06-30,0.078366,0.287694,0.335684,631465901.740000,2.131866,2169002693.810000,1269594909.00,740423061.00
sh.600196,2010-10-28,2010-09-30,0.102334,0.252571,0.342277,840706518.290000,0.535096,,1904392364.00,1110634592.00
sh.600196,2011-03-26,2010-12-31,0.115930,0.219594,0.344833,1000343819.020000,0.453506,4484532634.070000,1904392364.00,1110634592.00
sh.600196,2011-04-30,2011-03-31,0.029099,0.196312,0.346333,285550594.920000,0.412626,,1904392364.00,1110634592.00
sh.600196,2011-08-30,2011-06-30,0.097842,0.318209,0.345518,987246779.650000,0.619050,3063701616.370000,1904392364.00,1899619364.00
sh.600196,2011-10-31,2011-09-30,0.116720,0.268022,0.370264,1241616566.710000,0.626546,,1904392364.00,1899619364.00
sh.600196,2012-03-24,2011-12-31,0.128125,0.213528,0.384609,1384842696.360000,0.612063,6404857702.020000,1904392364.00,1899619364.00
sh.600196,2012-04-28,2012-03-31,0.033935,0.261694,0.453176,430811278.740000,0.655514,,1904392364.00,1899619364.00
sh.600196,2012-08-28,2012-06-30,0.070485,0.245479,0.446285,857769477.010000,0.525456,3453816491.350000,1904392364.00,1899619364.00
sh.600196,2012-10-31,2012-09-30,0.109455,0.244294,0.442223,1316218886.170000,0.625546,,1904392364.00,1899619364.00
sh.600196,2013-03-27,2012-12-31,0.134065,0.250555,0.437825,1839271495.840000,0.698033,7258784806.530000,2240462364.00,1899619364.00
sh.600196,2013-04-26,2013-03-31,0.025601,0.200574,0.444421,412497756.370000,0.705523,,2240462364.00,1899619364.00
sh.600196,2013-08-27,2013-06-30,0.075868,0.266594,0.442428,1202151345.890000,0.854864,4461043887.640000,2240462364.00,1904392364.00
sh.600196,2013-10-31,2013-09-30,0.098684,0.229207,0.440284,1620670760.670000,0.830084,,2240462364.00,1904392364.00
sh.600196,2014-03-25,2013-12-31,0.140325,0.240081,0.445464,2399948119.120000,0.904750,9897584450.310000,2240462364.00,1904392364.00
sh.600196,2014-04-30,2014-03-31,0.026738,0.181682,0.414910,482880534.930000,0.930749,,2244397364.00,1904392364.00
sh.600196,2014-08-27,2014-06-30,0.065146,0.205245,0.424647,1136758970.460000,0.854785,5508376746.330000,2311611364.00,1904392364.00
sh.600196,2014-10-29,2014-09-30,0.098080,0.207127,0.433641,1794017070.980000,1.146844,,2311611364.00,1904392364.00
sh.600196,2015-03-25,2014-12-31,0.132025,0.197067,0.441308,2369838937.260000,0.914025,11941096600.000000,2311611364.00,1904392364.00
sh.600196,2015-04-29,2015-03-31,0.031386,0.219758,0.493122,615388798.620000,0.966313,,2311380364.00,1904935792.00
sh.600196,2015-08-26,2015-06-30,0.076298,0.256039,0.505274,1516105476.230000,1.037821,5909676100.000000,2311380364.00,1905614684.00
sh.600196,2015-10-30,2015-09-30,0.110461,0.239918,0.506364,2176897216.150000,1.050998,,2311380364.00,1905614684.00
sh.600196,2016-03-30,2015-12-31,0.141156,0.227674,0.499705,2870660854.370000,1.063100,12567938000.000000,2314075364.00,1905614684.00
sh.600196,2016-04-29,2016-03-31,0.034385,0.236144,0.516387,761809861.160000,1.105396,,2314075364.00,1906158118.00
sh.600196,2016-08-24,2016-06-30,0.080715,0.252069,0.534592,1748625488.580000,1.148137,6922959100.000000,2314075364.00,1906837004.00
sh.600196,2016-10-29,2016-09-30,0.115182,0.238091,0.537967,2532806876.710000,1.186657,,2314075364.00,1906837004.00
sh.600196,2017-03-29,2016-12-31,0.139000,0.220205,0.540745,3221341795.700000,1.162072,14601013600.000000,2414512045.00,1907713979.00
sh.600196,2017-04-28,2017-03-31,0.032793,0.215430,0.553378,835964419.830000,1.204963,,2414474545.00,1908973339.00
sh.600196,2017-08-30,2017-06-30,0.072104,0.230649,0.572383,1926618982.200000,1.200190,8278795355.670000,2495131045.00,1908973339.00
sh.600196,2017-10-31,2017-09-30,0.101389,0.212761,0.583937,2757342058.980000,1.221665,,2495131045.00,1908973339.00
sh.600196,2018-03-27,2017-12-31,0.131511,0.193447,0.589450,3585258943.650000,1.252239,18533555418.420000,2495131045.00,1909809064.00
sh.600196,2018-04-28,2018-03-31,0.027547,0.146499,0.575933,837857516.110000,1.239429,,2495131045.00,1909809064.00
sh.600196,2018-08-28,2018-06-30,0.061327,0.146551,0.582944,1737951812.950000,1.200736,11858999567.210000,2495060895.00,1909809064.00
sh.600196,2018-10-30,2018-09-30,0.077768,0.128927,0.582727,2339036522.080000,1.092204,,2563060895.00,1909809064.00
sh.600196,2019-03-26,2018-12-31,0.101602,0.121191,0.584028,3019882133.680000,1.056519,24698269418.640000,2563060895.00,1910521364.00
sh.600196,2019-04-30,2019-03-31,0.025126,0.126425,0.591234,850839225.100000,1.059058,,2563060895.00,1910521364.00
sh.600196,2019-08-27,2019-06-30,0.053473,0.128389,0.604948,1819628941.740000,1.039281,14066616452.300000,2562898545.00,1910521364.00
sh.600196,2019-10-30,2019-09-30,0.070420,0.115679,0.597851,2455596989.300000,1.044706,,2562898545.00,1910521364.00
sh.600196,2020-03-31,2019-12-31,0.110969,0.130960,0.596174,3743521280.960000,1.296039,28585152033.180000,2562898545.00,2010958045.00
