,指标1,指标2,相关性得分,最优TS位移位数,最优TS,最优皮尔逊位移位数,最优位移皮尔逊相关系数,指标1 显著频率top3,指标2 显著频率top3,未位移皮尔逊相关系数,TS,kl,相关类型(1:正相关_person为基准 ;0:负相关_TS为基准)
0,价格:白酒:五粮液(52度):500ml:一号店:月,申万行业指数:白酒:月,91.53775670178106,3,0.9653775670178102,3,0.9653775670178106,"[20.5, 11.714285714285714, 7.454545454545454]","[16.400000000000002, 7.454545454545454, 5.125]",0.9452508568325443,0.9452508568325444,0.06641335723298734,1
1,价格:白酒:五粮液(52度):500ml:一号店:月,申万行业指数:食品饮料:月,88.72528268158223,3,0.9372528268158217,3,0.9372528268158223,"[20.5, 11.714285714285714, 7.454545454545454]","[16.400000000000002, 7.454545454545454, 5.125]",0.9070012620547935,0.9070012620547935,0.01895278136666085,1
2,价格:白酒:五粮液(52度):500ml:一号店:月,食品饮料利润总额累计同比,30.640824986195433,-9,0.35640824986195435,-9,0.35640824986195435,"[20.5, 11.714285714285714, 7.454545454545454]","[41.0, 9.11111111111111, 11.714285714285714]",0.19210438748528336,0.1921043874852833,0.07484848175072016,1
3,价格:白酒:五粮液(52度):500ml:一号店:月,申万行业指数:市净率:白酒:月,88.89503587034747,1,0.9389503587034747,1,0.9389503587034748,"[20.5, 11.714285714285714, 7.454545454545454]","[27.33333333333333, 16.400000000000002, 11.714285714285714]",0.9356878507570651,0.9356878507570651,0.013554632048401873,1
4,价格:白酒:五粮液(52度):500ml:一号店:月,22个省市:平均价:猪肉:月,12.527207552005091,5,0.25930352489992475,0,0.17527207552005092,"[20.5, 11.714285714285714, 7.454545454545454]","[41.0, 10.25, 20.5]",0.17527207552005092,0.17527207552005092,0.041305952611247664,1
5,价格:白酒:五粮液(52度):500ml:一号店:月,固定资产投资完成额:制造业食品制造业:累计同比,79.4260474177342,2,0.894260474177342,-12,-0.6293681114104642,"[20.5, 11.714285714285714, 7.454545454545454]","[27.33333333333333, 16.400000000000002, 11.714285714285714]",-0.8860727606848673,0.8860727606848673,0.8881773770367796,0
6,价格:白酒:五粮液(52度):500ml:一号店:月,固定资产投资完成额:制造业:酒、饮料和精制茶制造业:累计同比,67.01529709797458,12,0.7701529709797459,-12,-0.15261669962415012,"[20.5, 11.714285714285714, 7.454545454545454]","[82.0, 16.400000000000002, 9.11111111111111]",-0.44556842893533655,0.4455684289353364,0.7998001677427556,0
7,价格:白酒:五粮液(52度):500ml:一号店:月,固定资产投资完成额:制造业:烟草制品业:累计同比,31.3843735337378,12,0.3798791289643331,-12,0.363843735337378,"[20.5, 11.714285714285714, 7.454545454545454]","[82.0, 27.33333333333333, 7.454545454545454]",0.06197516930656093,0.06197516930656099,0.3313050101366492,1
8,价格:白酒:五粮液(52度):500ml:一号店:月,烟草制品业:利润总额累计值,13.279273538949376,5,0.23279273538949377,-2,-0.030557599865595593,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 2.411764705882353]",-0.06856417943194255,0.06856417943194255,0.17409128394821097,0
9,价格:白酒:五粮液(52度):500ml:一号店:月,烟草制品业:利润总额累计同期增减,64.91067548037645,-12,0.6991067548037648,-12,0.6991067548037645,"[20.5, 11.714285714285714, 7.454545454545454]","[82.0, 13.666666666666664, 27.33333333333333]",0.3573203598441694,0.3573203598441694,0.4929434749048132,1
10,价格:白酒:五粮液(52度):500ml:一号店:月,烟草制品业:利润总额累计同比,76.84351068687702,-12,0.8184351068687704,-12,0.8184351068687703,"[20.5, 11.714285714285714, 7.454545454545454]","[82.0, 27.33333333333333, 13.666666666666664]",0.42548674282645305,0.42548674282645293,0.35559544550697775,1
11,价格:白酒:五粮液(52度):500ml:一号店:月,烟草制品业:营业费用累计值,22.325965355621694,10,0.27325965355621695,10,0.27325965355621695,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 2.411764705882353]",0.09104807862677096,0.09104807862677097,0.25612784188491294,1
12,价格:白酒:五粮液(52度):500ml:一号店:月,烟草制品业:营业费用累计同比,46.93450471366494,11,0.5193450471366493,11,0.5193450471366494,"[20.5, 11.714285714285714, 7.454545454545454]","[82.0, 27.33333333333333, 7.454545454545454]",0.40335319111173784,0.4033531911117378,0.2352681923997758,1
13,价格:白酒:五粮液(52度):500ml:一号店:月,烟草制品业:财务费用累计值,51.70698486253332,10,0.6170698486253332,-12,-0.28342089506673895,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 3.0370370370370368, 27.33333333333333]",-0.5122945234060942,0.5122945234060942,0.6573967903575004,0
14,价格:白酒:五粮液(52度):500ml:一号店:月,烟草制品业:管理费用累计值,18.78402253158474,10,0.23784022531584748,10,0.2378402253158474,"[20.5, 11.714285714285714, 7.454545454545454]","[11.714285714285714, 5.857142857142857, 2.411764705882353]",0.0174782572586806,0.0174782572586806,0.24226661071074326,1
15,价格:白酒:五粮液(52度):500ml:一号店:月,烟草制品业:管理费用累计同比,21.383535831647237,12,0.37180550576991706,-12,0.26383535831647237,"[20.5, 11.714285714285714, 7.454545454545454]","[7.454545454545454, 10.25, 13.666666666666664]",0.02416757453159835,0.024167574531598363,0.32634676883108177,1
16,价格:白酒:五粮液(52度):500ml:一号店:月,烟草制品业:应收票据及应收账款同比,35.53476643735036,8,0.4553476643735036,-12,-0.19890182054535616,"[20.5, 11.714285714285714, 7.454545454545454]","[41.0, 10.25, 16.400000000000002]",-0.3798751096581255,0.37987510965812554,0.5507648239695907,0
17,价格:白酒:五粮液(52度):500ml:一号店:月,烟草制品业:存货同比,77.99349418587023,12,0.8799349418587024,-12,-0.6702363132585687,"[20.5, 11.714285714285714, 7.454545454545454]","[9.11111111111111, 6.833333333333332, 4.823529411764706]",-0.7826872816533105,0.7826872816533105,0.8504926995550676,0
18,价格:白酒:五粮液(52度):500ml:一号店:月,烟草制品业:产成品存货同比,58.97712619446075,12,0.6897712619446075,-12,-0.3441582371640071,"[20.5, 11.714285714285714, 7.454545454545454]","[27.33333333333333, 16.400000000000002, 8.200000000000001]",-0.6232379568857971,0.6232379568857974,0.6050640373106556,0
