,指标1,指标2,相关性得分,最优TS位移位数,最优TS,最优皮尔逊位移位数,最优位移皮尔逊相关系数,指标1 显著频率top3,指标2 显著频率top3,未位移皮尔逊相关系数,TS,kl,相关类型(1:正相关_person为基准 ;0:负相关_TS为基准)
0,申万行业指数:白酒:月,价格:白酒:五粮液(52度):500ml:一号店:月,94.53775670178106,-3,0.9653775670178102,-3,0.9653775670178106,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[20.5, 11.714285714285714, 7.454545454545454]",0.9452508568325443,0.9452508568325444,0.06218105151086127,1
1,申万行业指数:白酒:月,申万行业指数:食品饮料:月,93.40079620186292,0,0.9840079620186295,0,0.9840079620186292,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[23.249999999999996, 6.642857142857142, 5.166666666666666]",0.9840079620186292,0.9840079620186293,0.02082180726575773,1
2,申万行业指数:白酒:月,食品饮料利润总额累计同比,24.742740347106945,12,0.3665625140601595,-12,0.29742740347106944,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[9.299999999999999, 18.599999999999998, 6.642857142857142]",-0.04851500162613785,0.04851500162613783,0.243634688921399,1
3,申万行业指数:白酒:月,申万行业指数:市净率:白酒:月,77.98224596121258,-2,0.8298224596121262,-2,0.8298224596121259,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[31.0, 11.624999999999998, 6.642857142857142]",0.814792303001812,0.814792303001812,0.05009306576308868,1
4,申万行业指数:白酒:月,22个省市:平均价:猪肉:月,18.42395499577032,7,0.23487321372102812,-2,0.2342395499577032,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[46.49999999999999, 10.333333333333332, 6.199999999999999]",0.21744883102197918,0.21744883102197918,0.15649228965510129,1
5,申万行业指数:白酒:月,固定资产投资完成额:制造业食品制造业:累计同比,69.82793859973744,-5,0.7982793859973744,5,-0.7286340579738046,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[23.249999999999996, 15.5, 7.75]",-0.7503186698502075,0.7503186698502072,1.3980793972818781,0
6,申万行业指数:白酒:月,固定资产投资完成额:制造业:酒、饮料和精制茶制造业:累计同比,71.74849664365269,12,0.8174849664365269,-12,-0.28021882065339615,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[13.285714285714285, 10.333333333333332, 18.599999999999998]",-0.5512478625014006,0.5512478625014006,1.1479286865396794,0
7,申万行业指数:白酒:月,固定资产投资完成额:制造业:烟草制品业:累计同比,30.25965938545452,12,0.4025965938545452,-12,0.09859377510443042,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[92.99999999999999, 7.75, 15.5]",-0.10328564077304196,0.10328564077304198,0.36033323964653813,0
8,申万行业指数:白酒:月,烟草制品业:利润总额累计值,10.78462193002392,4,0.20784621930023922,-3,-0.011422334961078758,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[11.624999999999998, 5.812499999999999, 4.0434782608695645]",-0.04774029573111182,0.04774029573111178,0.2909059700210928,0
9,申万行业指数:白酒:月,烟草制品业:利润总额累计同期增减,40.60077043400405,-12,0.4560077043400406,-12,0.45600770434004045,"[18.599999999999998, 6.642857142857142, 5.166666666666666]","[92.99999999999999, 13.285714285714285, 23.249999999999996]",0.19869349419597546,0.19869349419597548,0.5311439145351201,1
