超前,一致,申万行业指数:白酒:月,date
86.32962222056123,9300.0,11660.47,2012-02
86.38291998989821,,11271.43,2012-03
86.47326312165993,,12597.11,2012-04
86.65618118406181,,12636.86,2012-05
86.80416890858898,,12887.8,2012-06
86.99875515211555,,12996.83,2012-07
87.19150017731528,,11867.64,2012-08
87.21729260807139,,12728.7,2012-09
87.24817501878195,,12780.7,2012-10
87.3640118377425,,10499.82,2012-11
87.54347602402181,,10862.1,2012-12
87.47215205290769,,9548.9,2013-01
87.39977886272612,,9522.76,2013-02
87.66461906687262,,8421.07,2013-03
87.72235139608327,,8173.14,2013-04
87.94668625504717,,9022.84,2013-05
87.83513388258056,,8085.02,2013-06
88.01026996782748,,7444.76,2013-07
88.13404382083415,,7526.72,2013-08
88.09089720051364,,6545.36,2013-09
88.14937842800602,,6236.8,2013-10
88.26158620173004,,6523.31,2013-11
88.30474098124385,,6127.15,2013-12
88.59864892668269,,5776.18,2014-01
88.47976684441188,,6239.99,2014-02
88.55853986908203,,6428.35,2014-03
88.59279795885041,,6695.07,2014-04
88.63698386915364,,6372.78,2014-05
88.64649790517966,,6478.1,2014-06
88.80030680104397,,7289.4,2014-07
89.0192856044885,,7295.61,2014-08
89.2288664182995,,7398.37,2014-09
89.39137376210724,,7133.57,2014-10
89.68670098145782,,7273.66,2014-11
90.09782168023297,,8821.62,2014-12
90.58189076069759,,8512.93,2015-01
90.52941731812032,,8754.8,2015-02
91.24220936607136,,9319.61,2015-03
91.47966433330716,,11029.93,2015-04
91.87537132059164,,11467.81,2015-05
92.27438678624502,,12215.42,2015-06
92.31202373057175,,10408.5,2015-07
92.34031817412685,,9524.78,2015-08
92.77529451066397,,9284.22,2015-09
92.85628029340253,,10156.76,2015-10
93.08612399508631,,10128.85,2015-11
93.95384161623029,,10900.61,2015-12
94.45035866332007,,9360.44,2016-01
94.07464482625925,,9447.29,2016-02
95.18290171971287,,11234.64,2016-03
95.67901958553837,,11376.14,2016-04
96.28532500141228,,11897.11,2016-05
96.6603681742911,,13149.04,2016-06
96.8898958447225,,13884.34,2016-07
97.62253769646126,,13626.07,2016-08
99.16009169305049,,12996.3,2016-09
99.88800203769893,,13866.08,2016-10
101.2763021792841,,13898.02,2016-11
103.40643799351247,,14069.14,2016-12
104.76299347926339,,14393.74,2017-01
105.11689503771068,,15349.29,2017-02
106.92845766534145,,16471.91,2017-03
107.48774774740825,,17054.95,2017-04
108.40773148929439,,17842.97,2017-05
108.82027820971054,,19243.9,2017-06
109.41739198910035,,20093.37,2017-07
110.3936990074614,,20342.03,2017-08
110.8317041568427,,21602.92,2017-09
111.33016179108449,,24685.09,2017-10
112.75093851648202,,24349.84,2017-11
112.80300661157266,,27312.81,2017-12
113.37206931711391,,29258.37,2018-01
112.56566259858357,,26910.68,2018-02
114.0668089423323,,25239.19,2018-03
114.19239532922342,,25220.45,2018-04
114.82971702395817,,29649.85,2018-05
115.21728010259139,,28561.99,2018-06
115.2080051761612,,27952.39,2018-07
115.8542434142802,,24504.56,2018-08
117.05612861484333,,26811.84,2018-09
117.39822342981495,,19667.43,2018-10
118.61731783004082,,20821.95,2018-11
120.30940547022767,,20920.39,2018-12
121.49856908682825,,23919.41,2019-01
120.19894703749424,,27116.83,2019-02
122.57574533268401,,32595.42,2019-03
122.96654826322408,,35483.88,2019-04
123.99237724130876,,33153.44,2019-05
124.61685286968942,,37149.22,2019-06
125.94280304152777,,36833.04,2019-07
127.05522196662426,,42265.06,2019-08
128.55766862825567,,41122.57,2019-09
130.0357009813616,,41687.08,2019-10
