,指标1,指标2,相关性得分,最优TS位移位数,最优TS,最优皮尔逊位移位数,最优位移皮尔逊相关系数,指标1 显著频率top3,指标2 显著频率top3,未位移皮尔逊相关系数,TS,kl,相关类型(1:正相关_person为基准 ;0:负相关_TS为基准)
0,GDP,房地产开发投资完成额:住宅:累计同比,61.69168826207751,-12,0.6627765656973988,1,0.6169168826207752,"[38.25, 21.857142857142854, 8.5]","[38.25, 19.125, 7.285714285714285]",0.5846452839707512,0.5846452839707512,0.11434983888704087,1
1,GDP,公共财政支出:当月值,5.8866281233341144,7,0.15176370880708556,-12,0.10886628123334115,"[38.25, 21.857142857142854, 8.5]","[10.2, 9.0, 51.0]",-0.0979258971405014,0.0979258971405014,0.22203263960064348,1
2,GDP,财政收支差额:当月值,28.973235064549552,3,0.2897323506454955,3,0.2897323506454955,"[38.25, 21.857142857142854, 8.5]","[38.25, 2.25, 2.6842105263157894]",0.22426599399246638,0.22426599399246638,0.19554551234671927,1
3,GDP,税收收入:当月值,39.559783618261854,3,0.39559783618261846,3,0.3955978361826185,"[38.25, 21.857142857142854, 8.5]","[38.25, 76.5, 5.1]",0.3150789989254466,0.3150789989254466,0.17420315932346403,1
4,GDP,公共财政收入:当月同比,54.192384333180044,-9,0.6419238433318004,4,0.4201038007129876,"[38.25, 21.857142857142854, 8.5]","[19.125, 30.599999999999998, 3.25531914893617]",0.26385609966469803,0.26385609966469803,0.14288667473474528,0
5,GDP,公共财政支出:当月同比,7.408122159668681,-12,0.12408122159668676,-12,0.1240812215966868,"[38.25, 21.857142857142854, 8.5]","[7.285714285714285, 2.125, 2.25]",-0.08847194541678917,0.08847194541678917,0.23380013904755295,1
6,GDP,税收收入:当月同比,55.005398711919085,-9,0.6500539871191908,3,0.434542184402842,"[38.25, 21.857142857142854, 8.5]","[30.599999999999998, 19.125, 4.5]",0.24417995429268394,0.24417995429268394,0.15491842875028405,0
7,GDP,出口数量指数(HS2):总指数,42.501075878364865,-11,0.5250107587836487,12,0.2814519310131247,"[38.25, 21.857142857142854, 8.5]","[30.599999999999998, 19.125, 3.558139534883721]",0.08654322770111587,0.08654322770111587,0.20270588334192088,0
8,GDP,非税收入:当月值,4.998943286597086,1,0.15731911858178396,-12,0.09998943286597087,"[38.25, 21.857142857142854, 8.5]","[51.0, 30.599999999999998, 3.3260869565217392]",-0.14741061234315822,0.14741061234315822,0.28388011578781613,1
9,GDP,税收收入:进口环节增值税和消费税:当月同比,51.8927913404027,-11,0.6422994343325619,2,0.518927913404027,"[38.25, 21.857142857142854, 8.5]","[38.25, 21.857142857142854, 76.5]",0.39467196312473557,0.39467196312473557,0.15395969815770455,1
10,GDP,税收收入:外贸企业出口退税:当月同比,15.825504662067491,-7,0.208255046620675,-7,0.2082550466206749,"[38.25, 21.857142857142854, 8.5]","[25.5, 2.5932203389830506, 19.125]",-0.06969623608399035,0.06969623608399035,0.2356626313800213,1
11,GDP,税收收入:企业所得税:当月同比,9.487393841013052,-10,0.2532512797642093,3,0.14487393841013052,"[38.25, 21.857142857142854, 8.5]","[19.125, 6.954545454545454, 5.1]",0.08718227138228238,0.08718227138228238,0.17667297718891448,1
12,GDP,税收收入:个人所得税:当月同比,26.841987291457958,-12,0.34066305604089675,5,0.31841987291457957,"[38.25, 21.857142857142854, 8.5]","[30.599999999999998, 21.857142857142854, 4.5]",0.27246520556089854,0.27246520556089854,0.24195545940037994,1
13,GDP,非税收入:累计值,8.669634286830942,0,0.19465515196806696,12,0.13669634286830942,"[38.25, 21.857142857142854, 8.5]","[51.0, 2.1549295774647885, 2.5932203389830506]",-0.19465515196806704,0.19465515196806704,0.3157133582716446,1
14,GDP,公共财政支出:累计值,22.077567376881017,-11,0.2707756737688099,-11,0.2707756737688102,"[38.25, 21.857142857142854, 8.5]","[51.0, 21.857142857142854, 17.0]",-0.11606128257963454,0.11606128257963454,0.2531834447283906,1
15,GDP,公共财政支出:累计同比,22.570812905308472,-11,0.2757081290530845,-11,0.2757081290530847,"[38.25, 21.857142857142854, 8.5]","[19.125, 51.0, 30.599999999999998]",0.13385287650371033,0.13385287650371033,0.15850479415769647,1
16,GDP,公共财政收入:累计值,68.31022501644395,-3,0.6831022501644394,-3,0.6831022501644395,"[38.25, 21.857142857142854, 8.5]","[38.25, 76.5, 17.0]",0.5983945689300779,0.5983945689300779,0.24703865196721575,1
17,GDP,公共财政收入:累计同比,66.00286285956237,-12,0.7010057545004574,1,0.6600286285956237,"[38.25, 21.857142857142854, 8.5]","[38.25, 21.857142857142854, 17.0]",0.6135390242535058,0.6135390242535058,0.11453449307598265,1
18,GDP,税收收入:累计值,63.07275246911374,-3,0.6307275246911376,-3,0.6307275246911374,"[38.25, 21.857142857142854, 8.5]","[38.25, 76.5, 17.0]",0.5834827666043867,0.5834827666043867,0.1607888742311167,1
19,GDP,税收收入:累计同比,63.903551620646404,-12,0.7230828803417582,1,0.639035516206464,"[38.25, 21.857142857142854, 8.5]","[38.25, 17.0, 9.0]",0.5985580800678247,0.5985580800678247,0.12092371981771632,1
20,GDP,税收收入:企业所得税:累计同比,60.64266659990507,-1,0.6064266659990507,-1,0.6064266659990507,"[38.25, 21.857142857142854, 8.5]","[38.25, 21.857142857142854, 17.0]",0.5999567152671422,0.5999567152671422,0.12308353988010222,1
21,GDP,税收收入:个人所得税:累计同比,49.70238823167201,0,0.49702388231672034,0,0.4970238823167201,"[38.25, 21.857142857142854, 8.5]","[38.25, 17.0, 21.857142857142854]",0.4970238823167201,0.4970238823167201,0.26096963049573946,1
22,GDP,税收收入:进口环节增值税和消费税:累计同比,50.99493390449034,-12,0.6094408265757235,1,0.5099493390449034,"[38.25, 21.857142857142854, 8.5]","[38.25, 25.5, 76.5]",0.45169130487689463,0.45169130487689463,0.23518797426531185,1
23,GDP,税收收入:外贸企业出口退税:累计同比,26.101107794942713,-12,0.31101107794942695,-12,0.3110110779494271,"[38.25, 21.857142857142854, 8.5]","[25.5, 38.25, 19.125]",-0.02797003536858353,0.02797003536858353,0.20779581844491216,1
24,GDP,非税收入:累计同比,21.804071549790415,1,0.2680407154979042,1,0.26804071549790415,"[38.25, 21.857142857142854, 8.5]","[51.0, 21.857142857142854, 30.599999999999998]",0.18399242207411132,0.18399242207411132,0.13878490449500056,1
25,GDP,社会融资规模:企业债券融资:累计值,13.117938687428795,-1,0.26337138419188005,-12,0.13117938687428796,"[38.25, 21.857142857142854, 8.5]","[38.25, 21.857142857142854, 8.052631578947368]",-0.2623523149386801,0.2623523149386801,0.29699469343242213,1
26,GDP,社会融资规模:非金融企业境内股票融资:累计值,31.685527274804784,-12,0.4510758272978396,3,0.36685527274804786,"[38.25, 21.857142857142854, 8.5]","[51.0, 10.928571428571427, 25.5]",0.28032200050561096,0.28032200050561096,0.25509766362794645,1
27,GDP,社会融资规模:当月值,11.0824068354748,-3,0.25158428819461376,11,0.160824068354748,"[38.25, 21.857142857142854, 8.5]","[51.0, 30.599999999999998, 7.285714285714285]",-0.22971060788298986,0.22971060788298986,0.3583429472552788,1
28,GDP,社会融资规模:新增人民币贷款:当月值,24.77242906311056,3,0.3721640573171517,-10,0.2977242906311056,"[38.25, 21.857142857142854, 8.5]","[19.125, 10.2, 2.7321428571428568]",-0.3140683861117891,0.3140683861117891,0.29366466773761885,1
29,GDP,社会融资规模:新增外币贷款:当月值,27.76542690676075,-5,0.3719664078230023,6,0.32765426906760753,"[38.25, 21.857142857142854, 8.5]","[17.0, 30.599999999999998, 13.909090909090908]",-0.0014808306281368633,0.0014808306281368633,0.21022588520704988,1
30,GDP,社会融资规模:新增委托贷款:当月值,20.717927700147484,-7,0.2519617351959185,9,0.20717927700147484,"[38.25, 21.857142857142854, 8.5]","[38.25, 19.125, 3.3260869565217392]",-0.10346043793538129,0.10346043793538129,0.3178137883136205,1
31,GDP,社会融资规模:新增信托贷款:当月值,9.453927592653692,-9,0.24352558211047262,12,0.14453927592653693,"[38.25, 21.857142857142854, 8.5]","[51.0, 19.125, 15.299999999999999]",-0.03674521091403587,0.03674521091403587,0.253868254496494,1
32,GDP,社会融资规模:新增未贴现银行承兑汇票:当月值,19.717429631554978,-9,0.2786483367899375,7,0.24717429631554977,"[38.25, 21.857142857142854, 8.5]","[30.599999999999998, 3.558139534883721, 17.0]",0.1186066068988337,0.1186066068988337,0.27751242108119245,1
33,GDP,社会融资规模:企业债券融资:当月值,18.46235324246467,1,0.2124693758901828,-11,0.18462353242464669,"[38.25, 21.857142857142854, 8.5]","[38.25, 21.857142857142854, 3.558139534883721]",-0.2011912527604199,0.2011912527604199,0.237570454248674,1
34,GDP,社会融资规模:非金融企业境内股票融资:当月值,39.35691185472321,5,0.443569118547232,5,0.4435691185472321,"[38.25, 21.857142857142854, 8.5]","[17.0, 38.25, 5.4642857142857135]",0.09225957844427568,0.09225957844427568,0.24693299522931644,1
35,GDP,进出口金额:当月值,63.55013099170612,1,0.6355013099170613,1,0.6355013099170612,"[38.25, 21.857142857142854, 8.5]","[38.25, 76.5, 17.0]",0.6149529602633814,0.6149529602633814,0.1664099536652887,1
36,GDP,出口金额:当月值,53.413440676515556,-2,0.5341344067651558,-2,0.5341344067651556,"[38.25, 21.857142857142854, 8.5]","[38.25, 76.5, 19.125]",0.48137672894333694,0.48137672894333694,0.18332261409654468,1
37,GDP,进口金额:当月值,65.3592547295694,1,0.6535925472956933,1,0.6535925472956939,"[38.25, 21.857142857142854, 8.5]","[38.25, 76.5, 17.0]",0.6196364201652313,0.6196364201652313,0.17357185163940855,1
38,GDP,贸易差额:当月值,17.70968365589151,3,0.2376455057862478,-6,0.1770968365589151,"[38.25, 21.857142857142854, 8.5]","[38.25, 9.0, 25.5]",-0.07498099898440597,0.07498099898440597,0.20848140537564297,1
39,GDP,贸易差额:当月同比,7.394210996546121,6,0.13981408765673917,-8,0.12394210996546122,"[38.25, 21.857142857142854, 8.5]","[21.857142857142854, 2.6842105263157894, 2.1857142857142855]",-0.11158157841951913,0.11158157841951913,0.2836879734961753,1
40,GDP,进出口金额:当月同比,53.132052380482754,-12,0.6604859393522172,1,0.5313205238048275,"[38.25, 21.857142857142854, 8.5]","[38.25, 19.125, 76.5]",0.4279380718723609,0.4279380718723609,0.15352991576307395,1
41,GDP,出口金额:当月同比,43.09661307086673,-11,0.5136663441378663,1,0.4309661307086673,"[38.25, 21.857142857142854, 8.5]","[38.25, 19.125, 3.558139534883721]",0.2970824324423322,0.2970824324423322,0.1878358915241181,1
42,GDP,进口金额:当月同比,50.16592087247058,-12,0.6776962486331181,1,0.5016592087247058,"[38.25, 21.857142857142854, 8.5]","[38.25, 25.5, 17.0]",0.4479078048058696,0.4479078048058696,0.13111443435071923,1
43,GDP,贸易差额:当月同比.1,7.394210996546121,6,0.13981408765673917,-8,0.12394210996546122,"[38.25, 21.857142857142854, 8.5]","[21.857142857142854, 2.6842105263157894, 2.1857142857142855]",-0.11158157841951913,0.11158157841951913,0.2836879734961753,1
44,GDP,进出口金额:累计同比,51.309888650177484,-12,0.6604723897315558,1,0.5130988865017748,"[38.25, 21.857142857142854, 8.5]","[38.25, 17.0, 76.5]",0.46925241050987915,0.46925241050987915,0.16477274021470575,1
45,GDP,出口金额:累计同比,48.83089480392977,-12,0.5767404036435542,1,0.48830894803929775,"[38.25, 21.857142857142854, 8.5]","[38.25, 19.125, 76.5]",0.42716739272386034,0.42716739272386034,0.23386340591802066,1
46,GDP,进口金额:累计同比,64.20839791045998,-12,0.6920839791045998,1,0.4917210166276516,"[38.25, 21.857142857142854, 8.5]","[38.25, 17.0, 76.5]",0.4632620273067316,0.4632620273067316,0.13905966931898367,0
47,GDP,进出口金额:一般贸易:当月值,60.334636022211576,1,0.6033463602221159,1,0.6033463602221157,"[38.25, 21.857142857142854, 8.5]","[38.25, 76.5, 19.125]",0.5875925469641085,0.5875925469641085,0.1659673136197321,1
48,GDP,出口金额:一般贸易:当月值,48.58427896086791,-2,0.485842789608679,-2,0.4858427896086791,"[38.25, 21.857142857142854, 8.5]","[38.25, 19.125, 76.5]",0.38987295803203253,0.38987295803203253,0.1975526924846843,1
49,GDP,出口金额:一般贸易:当月同比,40.1147781283019,-11,0.4138385785829454,-2,0.40114778128301903,"[38.25, 21.857142857142854, 8.5]","[38.25, 19.125, 3.558139534883721]",0.20336884186232584,0.20336884186232584,0.20582092737338728,1
50,GDP,进口金额:一般贸易:当月值,62.77742596198293,1,0.627774259619829,1,0.6277742596198292,"[38.25, 21.857142857142854, 8.5]","[38.25, 76.5, 17.0]",0.5952560273384336,0.5952560273384336,0.1645521954572152,1
51,GDP,进口金额:一般贸易:当月同比,56.38924711997395,-12,0.683180983277037,1,0.5638924711997395,"[38.25, 21.857142857142854, 8.5]","[38.25, 21.857142857142854, 17.0]",0.5181684579832871,0.5181684579832871,0.13066765849937648,1
52,GDP,进出口金额:一般贸易:累计值,68.52437875770225,-3,0.6852437875770226,-3,0.6852437875770225,"[38.25, 21.857142857142854, 8.5]","[38.25, 76.5, 17.0]",0.5223572843632929,0.5223572843632929,0.20216138788687224,1
53,GDP,出口数量指数(HS2):总指数.1,42.501075878364865,-11,0.5250107587836487,12,0.2814519310131247,"[38.25, 21.857142857142854, 8.5]","[30.599999999999998, 19.125, 3.558139534883721]",0.08654322770111587,0.08654322770111587,0.20270588334192088,0
54,GDP,出口价值指数(HS2):总指数,40.63957262562055,-11,0.5508364447657672,1,0.4063957262562055,"[38.25, 21.857142857142854, 8.5]","[38.25, 19.125, 3.558139534883721]",0.26020544149460184,0.26020544149460184,0.18511198813382465,1
