,指标1,指标2,相关性得分,最优TS位移位数,最优TS,最优皮尔逊位移位数,最优位移皮尔逊相关系数,指标1 显著频率top3,指标2 显著频率top3,未位移皮尔逊相关系数,TS,kl,相关类型(1:正相关_person为基准 ;0:负相关_TS为基准)
398,GDP,CPI:生活用品及服务:当月同比,78.66112756,-5,0.786611276,-5,0.786611276,"[38.25, 76.5, 21.857142857142854]","[38.25, 76.5, 19.125]",0.532401375,0.532401375,0.177093932,1
550,GDP,对CPI拉动:居住,78.11093248,1,0.781109325,1,0.781109325,"[38.25, 76.5, 21.857142857142854]","[38.25, 76.5, 17.0]",0.720581061,0.720581061,0.117699275,1
453,GDP,PPIRM:有色金属材料类:当月同比,72.93047624,-12,0.779304762,10,0.531722776,"[38.25, 76.5, 21.857142857142854]","[38.25, 76.5, 19.125]",0.353549012,0.353549012,0.140043313,0
541,GDP,CPI:当月同比:翘尾因素,77.77445257,1,0.777744526,1,0.777744526,"[38.25, 76.5, 21.857142857142854]","[38.25, 9.5625, 6.954545454545454]",0.756875088,0.756875088,0.109507258,1
546,GDP,对CPI拉动:生活用品及服务,76.6160432,-5,0.766160432,-5,0.766160432,"[38.25, 76.5, 21.857142857142854]","[38.25, 76.5, 19.125]",0.507759549,0.507759549,0.16597225,1
402,GDP,CPI:居住:当月同比,75.56345469,1,0.755634547,1,0.755634547,"[38.25, 76.5, 21.857142857142854]","[38.25, 17.0, 9.0]",0.689847332,0.689847332,0.125753626,1
480,GDP,农业生产资料价格指数:农药及农药械:当月同比,75.51566185,-5,0.755156618,-5,0.755156618,"[38.25, 76.5, 21.857142857142854]","[38.25, 17.0, 10.2]",0.456147019,0.456147019,0.20778513,1
530,GDP,CPI:不包括鲜菜和鲜果:当月同比.1,75.4609617,1,0.754609617,1,0.754609617,"[38.25, 76.5, 21.857142857142854]","[38.25, 19.125, 9.5625]",0.686995044,0.686995044,0.02345847,1
525,GDP,CPI:不包括鲜菜和鲜果:当月同比,75.4609617,1,0.754609617,1,0.754609617,"[38.25, 76.5, 21.857142857142854]","[38.25, 19.125, 9.5625]",0.686995044,0.686995044,0.144270464,1
423,GDP,RPI:家具:当月同比,74.87267846,-3,0.748726785,-3,0.748726785,"[38.25, 76.5, 21.857142857142854]","[38.25, 76.5, 19.125]",0.60386243,0.60386243,0.136767164,1
204,GDP,OECD综合领先指标:五个主要亚洲国家,74.73514124,7,0.747351412,7,0.747351412,"[38.25, 76.5, 21.857142857142854]","[38.25, 15.299999999999999, 9.0]",0.153469054,0.153469054,0.025901485,1
390,GDP,CPI:当月同比,74.72600558,1,0.747260056,1,0.747260056,"[38.25, 76.5, 21.857142857142854]","[38.25, 9.5625, 8.5]",0.682359697,0.682359697,0.148989374,1
522,GDP,CPI:当月同比.1,74.7246165,1,0.747246165,1,0.747246165,"[38.25, 76.5, 21.857142857142854]","[38.25, 9.5625, 8.5]",0.682371955,0.682371955,0.023491912,1
366,GDP,36个大中城市RPI:当月同比,74.59554447,1,0.745955445,1,0.745955445,"[38.25, 76.5, 21.857142857142854]","[38.25, 8.5, 6.954545454545454]",0.720079041,0.720079041,0.023400311,1
367,GDP,RPI:当月同比.1,74.07733666,1,0.740773367,1,0.740773367,"[38.25, 76.5, 21.857142857142854]","[38.25, 8.5, 9.5625]",0.696566477,0.696566477,0.023261736,1
365,GDP,RPI:当月同比,74.07733666,1,0.740773367,1,0.740773367,"[38.25, 76.5, 21.857142857142854]","[38.25, 8.5, 9.5625]",0.696566477,0.696566477,0.147231693,1
479,GDP,农业生产资料价格指数:化学肥料:当月同比,73.55741407,-4,0.735574141,-4,0.735574141,"[38.25, 76.5, 21.857142857142854]","[38.25, 17.0, 9.5625]",0.545081306,0.545081306,0.187568219,1
208,GDP,OECD综合领先指标:中国,73.10437329,7,0.731043733,7,0.731043733,"[38.25, 76.5, 21.857142857142854]","[38.25, 15.299999999999999, 9.0]",0.118468808,0.118468808,0.025894664,1
403,GDP,CPI:累计同比,72.64429684,-1,0.726442968,-1,0.726442968,"[38.25, 76.5, 21.857142857142854]","[38.25, 19.125, 9.0]",0.699017596,0.699017596,0.253373305,1
538,GDP,CPI:累计同比.1,72.64429684,-1,0.726442968,-1,0.726442968,"[38.25, 76.5, 21.857142857142854]","[38.25, 19.125, 9.0]",0.699017596,0.699017596,0.023506171,1
