,指标1,指标2,最优皮尔逊位移位数,最优位移皮尔逊相关系数,指标1,指标2,最优TS位移位数,最优TS,指标1,指标2,最优kl位移位数,最优kl,未位移皮尔逊相关系数,TS,kl,位移3个月皮尔逊,位移3个月TS,位移3个月kl,位移6个月皮尔逊,位移6个月TS,位移6个月kl,指标1 显著频率top3,指标2 显著频率top3
0,GDP,公共财政支出:当月值,-1,0.8003114576786919,GDP,公共财政支出:当月值,-1,0.8003114576786918,GDP,公共财政支出:当月值,-12,0.0471330669421641,0.7916810091937467,0.7916810091937465,0.051644997041689095,0.7418431367146594,0.7418431367146595,0.06357076381469892,0.7810115707594889,0.7810115707594888,0.05812833786924478,"[11.769230769230768, 6.12, 4.026315789473684]","[2.9999999999999996, 6.12, 4.026315789473684]"
1,GDP,财政收支差额:当月值,-10,-0.2622466576713851,GDP,财政收支差额:当月值,-2,0.39772672917424473,GDP,财政收支差额:当月值,12,0.15998663289501153,-0.3645312955138626,0.3645312955138625,0.5133579660240767,-0.28092519513372244,0.28092519513372244,0.4485104378266082,-0.31936922154689756,0.31936922154689745,0.4909717169271988,"[11.769230769230768, 6.12, 4.026315789473684]","[2.9999999999999996, 11.769230769230768, 4.026315789473684]"
2,GDP,税收收入:当月值,5,0.8292723392500052,GDP,税收收入:当月值,5,0.8292723392500048,GDP,税收收入:当月值,5,0.02374195977747693,0.7629496334587489,0.7629496334587493,0.033318611754363806,0.8045219772056278,0.8045219772056281,0.026961038309430745,0.8171465089148006,0.8171465089148005,0.024726917861244944,"[11.769230769230768, 6.12, 4.026315789473684]","[2.9999999999999996, 11.769230769230768, 4.026315789473684]"
3,GDP,公共财政收入:当月同比,12,-0.4892936961139395,GDP,公共财政收入:当月同比,0,0.550875230141019,GDP,公共财政收入:当月同比,-11,0.275153219442532,-0.5508752301410191,0.5508752301410192,0.3001654936929029,-0.5300535566500765,0.5300535566500764,0.29460777686777406,-0.511412750706628,0.511412750706628,0.29240019157132235,"[11.769230769230768, 6.12, 4.026315789473684]","[38.25, 17.0, 3.25531914893617]"
4,GDP,公共财政支出:当月同比,-9,-0.328750077465974,GDP,公共财政支出:当月同比,0,0.4274551944348616,GDP,公共财政支出:当月同比,-10,0.37290991869274026,-0.4274551944348617,0.4274551944348615,0.39941545614740964,-0.37240277688804013,0.3724027768880401,0.3931011536969378,-0.36880659701751717,0.3688065970175174,0.40244127640115757,"[11.769230769230768, 6.12, 4.026315789473684]","[7.285714285714285, 2.25, 51.0]"
5,GDP,税收收入:当月同比,12,-0.39077326233743165,GDP,税收收入:当月同比,0,0.49396415367890983,GDP,税收收入:当月同比,12,0.3055416110418929,-0.4939641536789099,0.4939641536789099,0.3617164577284736,-0.4552578348200792,0.4552578348200793,0.3406795599495733,-0.43387730245443823,0.43387730245443823,0.33709935521912227,"[11.769230769230768, 6.12, 4.026315789473684]","[30.599999999999998, 19.125, 7.6499999999999995]"
6,GDP,出口数量指数(HS2):总指数,10,-0.12421515749847299,GDP,出口数量指数(HS2):总指数,0,0.21635153287863496,GDP,出口数量指数(HS2):总指数,12,0.07134239886732634,-0.2163515328786348,0.21635153287863493,0.08882027612565638,-0.19700682980750855,0.19700682980750847,0.08389573308871104,-0.18500162307995846,0.18500162307995846,0.07994680726812702,"[11.769230769230768, 6.12, 4.026315789473684]","[38.25, 19.125, 3.558139534883721]"
7,GDP,非税收入:当月值,0,0.8535870403850182,GDP,非税收入:当月值,0,0.8535870403850173,GDP,非税收入:当月值,-12,0.04135045792509278,0.8535870403850182,0.8535870403850179,0.050908420386133114,0.8302179940592428,0.8302179940592427,0.056038800798774636,0.847252443798025,0.847252443798025,0.05516390311051428,"[11.769230769230768, 6.12, 4.026315789473684]","[2.9999999999999996, 38.25, 6.375]"
8,GDP,税收收入:进口环节增值税和消费税:当月同比,11,-0.229715056538582,GDP,税收收入:进口环节增值税和消费税:当月同比,-12,0.36660591151171734,GDP,税收收入:进口环节增值税和消费税:当月同比,12,0.24171615017496412,-0.3491676301312416,0.34916763013124164,0.27933832312597145,-0.28935293882591867,0.28935293882591867,0.24774506235365412,-0.2800291951009026,0.2800291951009025,0.2586901533577335,"[11.769230769230768, 6.12, 4.026315789473684]","[38.25, 25.5, 15.299999999999999]"
9,GDP,税收收入:外贸企业出口退税:当月同比,-7,0.00736441801546833,GDP,税收收入:外贸企业出口退税:当月同比,10,0.11539038761683196,GDP,税收收入:外贸企业出口退税:当月同比,-7,0.26026462120703575,-0.08193615035110642,0.08193615035110645,0.2978150925520911,-0.039491730983126805,0.03949173098312683,0.264162556687937,-0.04458960452854233,0.044589604528542326,0.27641581812514815,"[11.769230769230768, 6.12, 4.026315789473684]","[25.5, 2.5932203389830506, 19.125]"
