U/M/S,Strike,Underlying,Maturity,Type,Delta,CashDelta,Vega,Gamma,CashGamma,Theta,ActVol,Rate,SSRate,Multi,NetPos,Product
159919.SZ,,159919.SZ,,ETF,1821436,8328982,0,0,0,0,,,,1,1821436,159919.SZ
90000361.SZ,4.26,159919.SZ,2020/10/28,Call,-473602,-2165667,-1714,-421287,-88091,1484,0.314,0.025,0.0561,10330,-56,159919.SZ
90000362.SZ,4.356,159919.SZ,2020/10/28,Call,-817880,-3739967,-4050,-1022101,-213722,3583,0.306,0.025,0.0561,10330,-107,159919.SZ
90000363.SZ,4.453,159919.SZ,2020/10/28,Call,-1132449,-5178414,-7477,-1924842,-402486,6703,0.3,0.025,0.0561,10330,-171,159919.SZ
90000364.SZ,4.55,159919.SZ,2020/10/28,Call,-4495573,-20557159,-38331,-9977182,-2086239,34754,0.296,0.025,0.0561,10330,-822,159919.SZ
90000365.SZ,4.647,159919.SZ,2020/10/28,Call,1049084,4797207,11169,2911201,608735,-10275,0.296,0.025,0.0561,10330,244,159919.SZ
90000366.SZ,4.744,159919.SZ,2020/10/28,Call,2688358,12293204,34578,8940808,1869532,-32442,0.298,0.025,0.0561,10330,831,159919.SZ
90000367.SZ,4.84,159919.SZ,2020/10/28,Call,770171,3521806,11593,2950499,616952,-11150,0.303,0.025,0.0561,10330,326,159919.SZ
90000368.SZ,5.082,159919.SZ,2020/10/28,Call,1194115,5460397,24084,5760042,1204430,-25071,0.323,0.025,0.0561,10330,1196,159919.SZ
90000369.SZ,5.325,159919.SZ,2020/10/28,Call,-212006,-969451,-5123,-1116643,-233491,5944,0.354,0.025,0.0561,10330,-469,159919.SZ
90000370.SZ,4.26,159919.SZ,2020/10/28,Put,-1320758,-6039506,22010,5409021,1131032,-23583,0.314,0.025,0.0561,10330,719,159919.SZ
90000371.SZ,4.356,159919.SZ,2020/10/28,Put,-1317237,-6023405,18809,4747515,992710,-19721,0.306,0.025,0.0561,10330,497,159919.SZ
90000372.SZ,4.453,159919.SZ,2020/10/28,Put,506682,2316933,-6034,-1553381,-324813,6249,0.3,0.025,0.0561,10330,-138,159919.SZ
90000373.SZ,4.55,159919.SZ,2020/10/28,Put,-477680,-2184315,4617,1201631,251262,-4778,0.296,0.025,0.0561,10330,99,159919.SZ
90000374.SZ,4.647,159919.SZ,2020/10/28,Put,185832,849766,-1419,-369866,-77339,1488,0.296,0.025,0.0561,10330,-31,159919.SZ
90000375.SZ,4.744,159919.SZ,2020/10/28,Put,-35295,-161396,208,53795,11249,-224,0.298,0.025,0.0561,10330,5,159919.SZ
90000376.SZ,4.84,159919.SZ,2020/10/28,Put,111043,507772,-498,-126709,-26495,558,0.303,0.025,0.0561,10330,-14,159919.SZ
90000377.SZ,5.082,159919.SZ,2020/10/28,Put,353236,1615264,-765,-183011,-38268,1003,0.323,0.025,0.0561,10330,-38,159919.SZ
90000378.SZ,5.325,159919.SZ,2020/10/28,Put,1013734,4635560,-1125,-245233,-51278,1838,0.354,0.025,0.0561,10330,-103,159919.SZ
90000379.SZ,5.567,159919.SZ,2020/10/28,Call,-165706,-757732,-4498,-888478,-185782,5860,0.39,0.025,0.0561,10330,-702,159919.SZ
90000380.SZ,5.567,159919.SZ,2020/10/28,Put,1669640,7634855,-1064,-210096,-43931,2202,0.39,0.025,0.0561,10330,-166,159919.SZ
